    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
3     357525393272  62400497860  62400497860       -48526102596   
4     387411507295  63795732658  63795732658       -55236219198   
5     336126246996 -26739708604 -26739708604      -117124974014   
6     279914927023 -21257866046 -21257866046       -89032128975   
7     306400810948   7832533994   7832533994       -69903522270   
8     290106290834  -6538928569  -6538928569       -76005605857   
9     279688464738   2378015143   2378015143      -101879291083   

   Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0       -75697008720         -6846271428         -6846271428   
1       -73473555946         -6897902678         -6897902678   
2       -66481383786         -5909052932         -5909052932   
3       -48526102596         -7129777619         -7129777619   
4       -55236219198        -10428955352        -10428955352   
5      -117124974014         -9015019235         -9015019235   
6       -89032128975        -12620209043        -12620209043   
7       -69903522270        -17205414872        -17205414872   
8       -76005605857        -19031059628        -19031059628   
9      -101879291083        -19433344211        -19433344211   

   Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                    -98443589561                    -98443589561   
1                    -75548905387                    -75548905387   
2                    -46079394109                    -46079394109   
3                      6158116258                      6158116258   
4                     -2730257121                     -2730257121   
5                   -155736308488                   -155736308488   
6                   -126181754417                   -126181754417   
7                    -86405209520                    -86405209520   
8                   -109501770937                   -109501770937   
9                   -126884396078                   -126884396078   

   Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0             -654066103     -123000835861       -1932370993   
1            -2068630941     -186541559591        -346439306   
2             -165327467     -160767025706        -269705983   
3             -635848597     -295124895412        -660837647   
4             -471773894     -323615774637        -890379498   
5            -1258067995     -362865955600       -2881902956   
6            -1532713678     -301172793069       -3484501640   
7             -575857377     -298568276954       -7143648935   
8             -912092142     -296645219403       -8039442430   
9            -8118600430     -277310449595       -8056304388   

   Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0       -1932370993                            109120583405   
1        -346439306                            196062843085   
2        -269705983                            192307556969   
3        -660837647                            364272704443   
4        -890379498                            394162668550   
5       -2881902956                            338881896086   
6       -3484501640                            282536570113   
7       -7143648935                            306400810948   
8       -8039442430                            290106290834   
9       -8056304388                            279688464738   

   Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  LN trước thuế  \
0                     -94269827      165077038      -488989065   -98932578626   
1                   -4361311855       23045074     -2045585867   -77594491254   
2                   -4970670272      207532464        42204997   -46037189112   
3                   -6747311171     1110328409       474479812     6632596070   
4                   -6751161255     2046324025      1574550131    -1155706990   
5                   -2755649090      947903899      -310164096  -156046472584   
6                   -2621643090   103894124326    102361410648   -23820343769   
7                             0       49372382      -526484995   -86931694515   
8                             0      386144100      -525948042  -110027718979   
9                             0      225712089     -7892888341  -134777284419   

   Lợi nhuận thuần  Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0     -98932578626            -98932578626                     -3634  
1     -77594491254            -77594491254                     -2850  
2     -46037189112            -46037189112                     -1691  
3       6632596070              6632596070                       244  
4      -1155706990             -1155706990                       -42  
5    -156046472584           -156046472584                     -5732  
6     -23820343769            -23820343769                      -875  
7     -86931694515            -86931694515                     -3193  
8    -110027718979           -110027718979                     -4115  
9    -134777284419           -134777284419                     -4951  
    CP   Năm  Tiền và tương đương tiền  \
0  DCT  2023                2975471492   
1  DCT  2022                8027929960   
2  DCT  2021                4174708161   
3  DCT  2019                1634636043   
4  DCT  2018                5654328624   
5  DCT  2017                2257890496   
6  DCT  2016                 491503824   
7  DCT  2015                1460160314   
8  DCT  2014                 918704302   
9  DCT  2013                5380978985   

   Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  Lãi/Lỗ từ hoạt động đầu tư  \
0                                        0                  -100000000   
1                                        0                           0   
2                                        0                           0   
3                                        0                           0   
4                                        0                           0   
5                                        0                           0   
6                                132042331                  -407513092   
7                                416554621                           0   
8                                 -6582080                   -98319837   
9                                -52712221                   -81818180   

   Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0   75697008720                     683140372                     683140372   
1   73473555946                  -48166859957                  -48166859957   
2   66481383786                  -46657824525                  -46657824525   
3   48526102596                  -92802681078                  -92802681078   
4   55236219198                    8394965645                    8394965645   
5             0                   35012012362                   35012012362   
6   61401954626                   43630729818                   43630729818   
7   71747982286                  -56800459724                  -56800459724   
8   79114390204                  -40914429896                  -40914429896   
9   89392579617                   22129768163                   22129768163   

   Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0              3627225141                   -6459949277   
1              6250758761                   12193157119   
2             -4137797330                    -577971431   
3             12680592610                   -4876525034   
4            -10026396735                  -14227311646   
5             24204177395                   -1198757843   
6             18104494263                  -42926428462   
7            -28122802041                   64533849311   
8             38223570691                    5766668244   
9            -13473253684                    7987924544   

   Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                   -6459949277                  -1670888160   
1                   12193157119                   -147610235   
2                    -577971431                   1022845959   
3                   -4876525034                   3195285942   
4                  -14227311646                   4027008351   
5                   -1198757843                  11240252748   
6                  -42926428462                  -6503565067   
7                   64533849311                   -134216699   
8                    5766668244                   -151184029   
9                    7987924544                   2440956720   

   Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0                       0                                  0   
1                       0                                  0   
2                       0                                  0   
3              -425322600                                  0   
4              -126107532                                  0   
5                       0                                  0   
6            -44927975749                                  0   
7             -6984994342                                  0   
8            -19699789838                                  0   
9            -47301222055                        -1609993688   

   Tiền chi khác từ các hoạt động kinh doanh  \
0                                          0   
1                                          0   
2                                          0   
3                                   -2500000   
4                                   -3000000   
5                                 -129500000   
6                                 -233380000   
7                                 -948900000   
8                                -1758921000   
9                                -1463446000   

   Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     6185433513   
1                                    -1443955788   
2                                     3961724479   
3                                     8636435958   
4                                    78495395601   
5                                    27697162083   
6                                    92474614638   
7                                    14646472092   
8                                     5622531132   
9                                    -5044886751   

   Tiền thu được từ thanh lý tài sản cố định  Tiền thu được các khoản đi vay  \
0                                  100000000                               0   
1                                          0                               0   
2                                          0                               0   
3                                          0                               0   
4                                          0                               0   
5                                          0                               0   
6                                  407513092                     14386192882   
7                                          0                    147328796830   
8                                  245454549                    126631189643   
9                                   81818180                    133836868404   

   Tiền trả các khoản đi vay  Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0                          0              0                       965509547   
1                -3500000000              0                     -5052458468   
2                          0              0                      3853221799   
3                -7647000000              0                       161322740   
4               -79800000000              0                     -4019692581   
5               -22604726852              0                      3396438128   
6               -99417964192              0                      1767656767   
7              -160736007538              0                      -968790516   
8              -126755660582              0                       542606871   
9              -131118525254       -8000000                     -4462274683   

   Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                                0                        3940981039   
1                                0                        2975471492   
2                                0                        8027929960   
3                                0                        1795958783   
