    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
6       -3408691727                            238276766089   
7       -4496922324                            422980091939   
8       -5704614400                            297785742113   
9       -2075465683                            521178739694   

   Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  LN trước thuế  \
0                             0       20901870       -31720812   -16424930690   
1                             0          72992       -37397041    -3695447088   
2                             0           3047      -399184180    -2141917450   
3                     -20000000      909127415      -880799520     -656329768   
4                             0     1693135389      1558233335     1215085868   
5                     -81727500        2051456      -147335639     9902311402   
6                    -496382761      546696105      -173345136     2665386431   
7                    -438268401       93652351      -843006444   -21909378147   
8                    -876796379     6529132007       235914108   -46129060387   
9                   -2578356313     7405392895      1263147116   -76496469570   

   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0  -16902000                    -16902000     -16441832690   
1 -292662188                   -292662188      -3988109276   
2 -176536553                   -176536553      -2318454003   
3          0                            0       -656329768   
4          0                            0       1215085868   
5          0                            0       9902311402   
6   -4393365                     -4393365       2660993066   
7          0                            0     -21909378147   
8          0                            0     -46129060387   
9          0                            0     -76496469570   

   Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0            -16441832690                     -1663  
1             -3988109276                      -403  
2             -2318454003                      -235  
3              -656329768                       -66  
4              1215193513                       123  
5             10161060865                      1028  
6              2812340336                       284  
7            -21412351628                     -2166  
8            -45484725871                     -4601  
9            -75875299261                     -7675  
    CP   Năm  Tiền và tương đương tiền  \
0  HSI  2022                7870292084   
1  HSI  2021                6604236079   
2  HSI  2020               10388817294   
3  HSI  2019                7810677296   
4  HSI  2018               12490772116   
5  HSI  2017                9784833475   
6  HSI  2016                7865743177   
7  HSI  2015                4300029051   
8  HSI  2014                3957346784   
9  HSI  2013                8656661971   

   Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  Lãi/Lỗ từ hoạt động đầu tư  \
0                                129932736                 -2120337523   
1                                        0                  -127767155   
2                                        0                  -179523655   
3                                  7841263                   540042350   
4                                  -292485                  -987210908   
5                                        0                           0   
6                                        0                           0   
7                                        0                           0   
8                                        0                           0   
9                                        0                           0   

   Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0             0                    5088091778                    5088091778   
1     300000000                    9636975892                    9636975892   
2             0                   -7096405461                   -7096405461   
3      39694468                   -8299370150                   -8299370150   
4     186835296                   -7459793955                   -7459793955   
5             0                             0                             0   
6             0                             0                             0   
7             0                             0                             0   
8             0                             0                             0   
9             0                             0                             0   

   Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0              1675545211                    -249871026   
1            -15698836908                    4189913071   
2              -545253217                   -5057566470   
3             -8240854280                   12952390138   
4             -1641563345                    1145689731   
5                       0                             0   
6                       0                             0   
7                       0                             0   
8                       0                             0   
9                       0                             0   

   Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                    -249871026                    -68866451   
1                    4189913071                    237140786   
2                   -5057566470                   2260807774   
3                   12952390138                  -1776431659   
4                    1145689731                   -824978216   
5                             0                            0   
6                             0                            0   
7                             0                            0   
8                             0                            0   
9                             0                            0   

   Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0                       0                         -354064189   
1              -300000000                                  0   
2                       0                                  0   
3               -39694468                                  0   
4              -186835296                                  0   
5                       0                                  0   
6                       0                                  0   
7                       0                                  0   
8                       0                                  0   
9                       0                                  0   

   Tiền chi khác từ các hoạt động kinh doanh  \
0                                          0   
1                                          0   
2                                 -176536553   
3                                          0   
4                                 -241933878   
5                                          0   
6                                          0   
7                                          0   
8                                          0   
9                                          0   

   Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                    -3006951599   
1                                     4588595850   
2                                     -596104870   
3                                     8430280415   
4                                     6564843274   
5                                    11430666574   
6                                    17859455153   
7                                    36099733209   
8                                    71519157995   
9                                   126670302797   

   Tiền thu được từ thanh lý tài sản cố định  \
0                                          0   
1                                          0   
2                                          0   
3                                  909090909   
4                                          0   
5                                          0   
6                                 1163805457   
7                                 4678706039   
8                                 5141585714   
9                                 8619252392   

   Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                          255208746             
1                                                  0             
2                                                  0             
3                                                  0             
4                                          328946513             
5                                         2245315799             
6                                                  0             
7                                                  0             
8                                                  0             
9                                                  0             

   Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  \
0                               0                -1400000000   
1                               0                -3000000000   
2                               0                -2900000000   
3                               0                -6172480000   
4                      3799980000               -14220000000   
5                      3900000000               -20667000000   
6                      4000000000               -19632000000   
7                    113349000000              -140075500000   
8                     75660000000              -143874889894   
