     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
7                    -1756309222      368333477       299725613   
8                     -559623790      477046903       433456953   
9                    -4345218450      358765830        75004296   
10                     -69992723      314254876       309106734   

    LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0     10419416134 -2129128727                  -2129128727       8290287407   
1      9763060971 -1992837170                  -1992837170       7770223801   
2      8500080948 -1736072189                  -1736072189       6764008759   
3      8035054049 -1656070508                  -1656070508       6378983541   
4      7219918471 -1424942730                  -1424942730       5794975741   
5      6271292033 -1226431225                  -1226431225       5044860808   
6      5427589081 -1144639140                  -1144639140       4282949941   
7      4439865265  -923378724                   -923378724       3516486541   
8      4436837635  -958351798                   -958351798       3478485837   
9      4410004048  -998459054                   -998459054       3411544994   
10     4567856192 -1054897628                  -1054897628       3512958564   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0               8290287407                      2763  
1               7770223801                      2590  
2               6764008759                      1916  
3               6378983541                      2126  
4               5794975741                      1932  
5               5044860808                      1682  
6               4282949941                      2157  
7               3516486541                      1771  
8               3478485837                      1752  
9               3411544994                      1718  
10              3512958564                      1769  
     CP   Năm  Tiền và tương đương tiền  \
0   DPP  2023                 837552540   
1   DPP  2022                 836732620   
2   DPP  2021                1205645789   
3   DPP  2020                 733454202   
4   DPP  2019                7583665411   
5   DPP  2018                1060526625   
6   DPP  2017                1337240265   
7   DPP  2016                1933335372   
8   DPP  2015                4563341367   
9   DPP  2014                3943790175   
10  DPP  2013                4169917797   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     16085795544   
1                                     -7937319775   
2                                      8589499709   
3                                      8499998228   
4                                       217777084   
5                                      -935395945   
6                                      2455242492   
7                                      -206011711   
8                                      4553506973   
9                                      6324821993   
10                                     5202427777   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                           0   
6                                           0   
7                                           0   
8                                    20909090   
9                                           0   
10                                          0   

    Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                                   0             
1                                                   0             
2                                                   0             
3                                            11400000             
4                                                   0             
5                                                   0             
6                                                   0             
7                                                   0             
8                                                   0             
9                                                   0             
10                                                  0             

    Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  Cổ tức đã trả  \
0                      20018251762               -32468035192    -3504065695   
1                      38834924554               -24508528723    -3535169230   
2                      15606111079               -18785707990    -4481633420   
3                      16600568859               -20071329108    -4037604070   
4                      16191687070               -14322723117    -3570232165   
5                      21362823298               -20242270162    -3053103585   
6                      14811508111               -14260493983    -2533617100   
7                      11273325943                -8865000000    -2374894285   
8                       8000000000               -12785000000    -2349313380   
9                      14800000000               -16994060680    -2978170500   
10                     18000000000               -19861668383    -2978164500   

    Lưu chuyển tiền thuần trong kỳ  Ảnh hưởng của chênh lệch tỷ giá  \
0                         98715781                                0   
1                           819920                                0   
2                       -368913169                                0   
3                        472191587                                0   
4                      -6850211209                                0   
5                       6522994087                           144699   
6                       -276731104                            17464   
7                       -596128793                            33686   
8                      -2630447602                           441607   
9                        619663126                          -111934   
10                      -226278887                           151265   

    Tiền và tương đương tiền cuối kỳ  Khấu hao TSCĐ  Mua sắm TSCĐ  \
0                          936268321              0     -36650000   
1                          837552540              0   -2857000000   
2                          836732620              0   -1300850000   
3                         1205645789              0    -571050000   
4                          733454202              0   -5660188181   
5                         7583665411              0   -1112000000   
6                         1060526625     1656348455    -763488422   
7                         1337240265              0    -443000000   
8                         1933335372              0    -108293825   
9                         4563341367     1730160865    -580170000   
10                        3943790175     1792266332    -657577364   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                  3419362                       -33230638   
1                                  3913094                     -2853086906   
2                                  3667453                     -1297182547   
3                                 40207678                      -519442322   
4                                293468100                     -5366720081   
5                                357310481                      -754689519   
6                                 14117798                      -749370624   
7                                 19451260                      -423548740   
8                                 37743540                       -49641195   
9                                 47242313                      -532927687   
10                                68703583                      -588873781   

    Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu  \
0                                                   0        
1                                                   0        
2                                                   0        
3                                                   0        
4                                                   0        
5                                         10145630000        
6                                                   0        
7                                                   0        
8                                                   0        
9                                                   0        
10                                                  0        

    Lưu chuyển tiền từ hoạt động tài chính  \
0                             -15953849125   
1                              10791226601   
2                              -7661230331   
3                              -7508364319   
4                              -1701268212   
5                               8213079551   
6                              -1982602972   
7                                 33431658   
8                              -7134313380   
9                              -5172231180   
10                             -4839832883   

    Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)  \
0                                                   0                        
1                                                   0                        
2                                                   0                        
3                                                   0                        
4                                                   0                        
5                                                   0                        
6                                                   0                        
7                                                   0                        
8                                          1500000000                        
9                                                   0                        
10                                                  0                        

    Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                                   0           
1                                                   0           
2                                                   0           
3                                                   0           
4                                                   0           
5                                                   0           
6                                                   0           
7                                                   0           
8                                         -1500000000           
9                                                   0           
10                                                  0           
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   DPP  2023  5          0.718175       37800126000   
1   DPP  2022  5          1.381264       68100227000   
2   DPP  2021  5          1.040152       48000160000   
3   DPP  2020  5          1.230682       55500185000   
4   DPP  2019  5          1.293599       56700189000   
5   DPP  2018  5          1.336630       56700189000   
6   DPP  2017  5          1.214513       37524948300   
7   DPP  2016  5          1.254123       37524948300   
8   DPP  2015  5          1.274854       37524948300   
9   DPP  2014  5          1.316234       37524948300   
10  DPP  2013  5          1.328773       37524948300   

                                                                            \
   Số CP lưu hành (Triệu CP)        P/E       P/S P/Cash Flow    EPS (VND)   
0                    3000010   5.364197  0.117075    2.349907  2763.419924   
1                    3000010  10.310883  0.166719   -8.579751  2590.065967   
2                    3000010   8.348714  0.145509    5.588237  2254.662071   
3                    3000010   8.700475  0.168809    6.529435  2126.320759   
4                    3000010  11.511024  0.203000  260.358840  1931.652141   
5                    3000010  13.222586  0.223899  -60.616244  1681.614664   
6                    1985447  10.307691  0.231712   15.283602  2157.171630   
7                    1985447  12.554292  0.256959 -182.149588  1771.130905   
8                    1985447  11.986361  0.221844    8.240890  1751.991283   
9                    1985447  10.999400  0.150256    5.932965  1718.275529   
10                   1985447  10.681865  0.319441    7.212969  1769.353986   

                           Chỉ tiêu khả năng sinh lợi                          \
      BVPS (VND) EV/EBITDA     Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)   
0   17544.470504  3.189704                   0.084473                0.025677   
1   16434.226926  6.060562                   0.077612                0.019023   
2   15382.360269  4.761579                   0.067378                0.020505   
3   15032.312716  6.712782                   0.064280                0.019402   
4   14610.400811  7.317298                   0.074772                0.020747   
5   14140.033906  6.635066                   0.082659                0.019921   
6   15561.790738  5.831090                   0.118469                0.026447   
7   15070.288744  6.952863                   0.132510                0.024080   
8   14825.227124  5.218612                   0.116065                0.020564   
9   14359.149624  5.492087                   0.096148                0.013660   
10  14223.651643  6.002941                   0.180436                0.029905   

                                                                 \
     ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng)   
0   0.162403  0.190172  0.077107      0.033045      12619970118   
1   0.162542  0.170635  0.073070      0.027246      13712022815   
2   0.148004  0.167766  0.076025      0.024279      10222853609   
3   0.143208  0.151742  0.073548      0.023017       8787360397   
4   0.134127  0.123032  0.064186      0.022938       8764245135   
5   0.137320  0.135859  0.063321      0.026177       8351297918   
6   0.140478  0.151711  0.062151      0.033866       7140819756   
7   0.118172  0.121357  0.048808      0.028773       5869672915   
8   0.119736  0.190677  0.037399      0.035767       7244572823   
9   0.119896  0.155838  0.035292      0.022207       7276215511   
10  0.126297  0.142173  0.039956      0.045402       7125710502   

                                            Chỉ tiêu thanh khoản  \
   EBIT (Tỷ đồng) Tỷ suất cổ tức (%) Chỉ số thanh toán hiện thời   
0     10669244235           0.095238                    1.906791   
1     11129135658           0.052863                    1.470571   
2      8009171834           0.075000                    1.640282   
3      7567317313           0.081081                    1.707510   
4      6406841336           0.074074                    1.550290   
