     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
7   FIC  2016                 0       81087503469                 0   
8   FIC  2015                 0       25735950742                 0   
9   FIC  2014                 0       15950181677                 0   
10  FIC  2013      296700879005        8279613588      296700879005   

    Cổ đông thiểu số  Lãi/Lỗ ròng trước thuế  Tăng trưởng doanh thu (%)  \
0         -331748494             74174498877                  -0.196008   
1        16145904766            134001310173                   0.000000   
2         -843184252            123211969345                  -0.450737   
3         6353985833            103309835786                  -0.293639   
4        11448643160             56849277220                  -0.402326   
5        85468210296            200377435075                   0.222092   
6       101779799129            382967226124                  -0.071114   
7        81087503469            491656913310                   0.043979   
8        25735950742            118292399811                  -0.080647   
9        15950181677            126550588764                   0.194522   
10        8279613588             80242678129                   0.000000   

    Doanh thu (Tỷ đồng)  Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng)  \
0         1347408534073                                        55940407209     
1         1675898484356                                        98748681641     
2         1500558027543                                        98815171044     
3         2731946330883                                        56957103308     
4         3867634655588                                        15822213679     
5         6471147716841                                        73314266085     
6         5295139596064                                       229065688368     
7         5700529107062                                       343044457250     
8         5460388536037                                        71083236655     
9         5939383706341                                        88555507861     
10        4972184218795                                        45372917804     

    Tăng trưởng lợi nhuận (%)  Thu nhập tài chính  Thu nhập tài chính  \
0                   -0.433507         19387571701         19387571701   
1                    0.000000         11888114802         11888114802   
2                    0.734905         11477813814         11477813814   
3                    2.599819         33832760458         33832760458   
4                   -0.784186         30048359703         30048359703   
5                   -0.679942         48426568779         48426568779   
6                   -0.332257         34316335743         34316335743   
7                    3.825954        285020628169        285020628169   
8                   -0.197303         48285412613         48285412613   
9                    0.951726          8962600821          8962600821   
10                   0.000000         36215352384         36215352384   

    Chi phí tiền lãi vay  Chi phí tiền lãi vay  Doanh thu thuần  \
0           -48346843657          -48346843657    1325411378386   
1           -33280151119          -33280151119    1635547349798   
2           -47438871633          -47438871633    1460847330005   
3           -87136655104          -87136655104    2715540201435   
4         -1020855841170        -1020855841170    3853740436377   
5          -177276548348         -177276548348    6380711495629   
6          -185355608943         -185355608943    5224437803569   
7          -210385801381         -210385801381    5650529895449   
8          -199621158455         -199621158455    5457717353792   
9          -188972734188         -188972734188    5820321500355   
10         -198863616646         -198863616646    4826932677972   

    Doanh thu thuần        Lãi gộp        Lãi gộp  Chi phí tài chính  \
0     1325411378386   225181829415   225181829415       -48860471424   
1     1635547349798   262599637133   262599637133       -39025140591   
2     1460847330005   219940572318   219940572318       -48874449675   
3     2715540201435   248644415747   248644415747       -91015222134   
4     3853740436377   300889745218   300889745218      -103454679163   
5     6380711495629   920572396898   920572396898      -209131995385   
6     5224437803569  1002807448351  1002807448351      -222440471782   
7     5650529895449  1179285172414  1179285172414      -309629874591   
8     5457717353792  1029931451095  1029931451095      -344504086880   
9     5820321500355  1075925290347  1075925290347      -296555194056   
10    4826932677972   843713337082   843713337082      -261897476589   

    Chi phí tài chính  Chi phí quản lý DN  Chi phí quản lý DN  \
0        -48860471424       -142358459280       -142358459280   
1        -39025140591       -139438973455       -139438973455   
2        -48874449675       -127895399392       -127895399392   
3        -91015222134       -161690798162       -161690798162   
4       -103454679163       -161107109010       -161107109010   
5       -209131995385       -255165570439       -255165570439   
6       -222440471782       -210208326220       -210208326220   
7       -309629874591       -212411220573       -212411220573   
8       -344504086880       -188790524908       -188790524908   
9       -296555194056       -178194280209       -178194280209   
10      -261897476589       -159903030602       -159903030602   

    Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                      75783036264                     75783036264   
1                     134854862411                    134854862411   
2                     119356879263                    119356879263   
3                     103266146172                    103266146172   
4                      52249197929                     52249197929   
5                     196708206162                    196708206162   
6                     380634133496                    380634133496   
7                     484724182607                    484724182607   
8                     111870743613                    111870743613   
9                     110410802794                    110410802794   
10                     19863947796                     19863947796   

