     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
     CP   Năm  Tiền và tương đương tiền  \
0   GER  2023                7580654861   
1   GER  2022                3994344461   
2   GER  2021                2500284055   
3   GER  2020                5304404585   
4   GER  2019                1567067629   
5   GER  2018                1750119309   
6   GER  2017                3048935740   
7   GER  2016                4157700418   
8   GER  2015                1932518097   
9   GER  2014                3212547815   
10  GER  2013                1695624379   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     -1384039396   
1                                      8790678826   
2                                      1955020772   
3                                       828872071   
4                                      2253043272   
5                                      6085118867   
6                                      -620278912   
7                                      2332366864   
8                                      3707327537   
9                                      2005699214   
10                                     1612663391   

    Tiền thu được từ thanh lý tài sản cố định  Tiền thu được các khoản đi vay  \
0                                    40000000                      8500000000   
1                                           0                      8140000000   
2                                           0                     13046294212   
3                                           0                      9736399128   
4                                           0                     17293000000   
5                                    70000000                     20086000000   
6                                           0                     28450000000   
7                                           0                     18313000000   
8                                           0                     14355000000   
9                                    75000000                      8765000000   
10                                   72393683                      8475000000   

    Tiền trả các khoản đi vay  Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0                 -7840000000    -2387662272                     -3066091633   
1                -12745294212     -660000000                      3529990376   
2                -13501000000              0                      1502233626   
3                -12716399128     -658507200                     -2808294135   
4                -15819000000              0                      3732390097   
5                -26430000000              0                      -185691498   
6                -28665000000     -470160000                     -1301782374   
7                -15848000000    -1316654400                     -1101068980   
8                -13165000000    -1100000000                      2203679130   
9                -10783035000    -1100000000                     -1294275030   
10                -7543985000     -990000000                      1515533158   

    Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                          43296336                        4557859564   
1                          56320024                        7580654861   
2                          -8173220                        3994344461   
3                           4173605                        2500284055   
4                           4946859                        5304404585   
5                           2639818                        1567067629   
6                           2965943                        1750119309   
7                          -7695698                        3048935740   
8                          21503191                        4157700418   
9                          14245312                        1932518097   
10                          1390278                        3212547815   

    Khấu hao TSCĐ  Mua sắm TSCĐ  Tiền thu cổ tức và lợi nhuận được chia  \
0               0             0                                 5610035   
1               0             0                                 4605762   
2               0             0                                 1918642   
3               0             0                                 1340994   
4               0             0                                 5346825   
5               0             0                                 3189635   
6      1275259745             0                                 3656538   
7      1275259745   -4589129019                                 7347575   
8               0   -1600000000                                 6351593   
9               0    -266700000                                 9760756   
10              0    -139490000                                28951084   

    Lưu chuyển từ hoạt động đầu tư  Lưu chuyển tiền từ hoạt động tài chính  
0                         45610035                             -1727662272  
1                          4605762                             -5265294212  
2                          1918642                              -454705788  
3                          1340994                             -3638507200  
4                          5346825                              1474000000  
5                         73189635                             -6344000000  
6                          3656538                              -685160000  
7                      -4581781444                              1148345600  
8                      -1593648407                                90000000  
9                       -181939244                             -3118035000  
10                       -38145233                               -58985000  
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   GER  2023  5          0.798807       20460000000   
1   GER  2022  5          0.599540       16940000000   
2   GER  2021  5          0.629946       15840000000   
3   GER  2020  5          2.288576       56540000000   
4   GER  2019  5          0.365398        9240000000   
5   GER  2018  5          0.379779        9240000000   
6   GER  2017  5          0.376719        9240000000   
7   GER  2016  5          0.345441        9240000000   
8   GER  2015  5          0.360732        9240000000   
9   GER  2014  5          0.380332        9240000000   
10  GER  2013  5          0.355032        9240000000   

                                                                            \
   Số CP lưu hành (Triệu CP)        P/E       P/S P/Cash Flow    EPS (VND)   
0                    2200000  22.483516  0.251770  -14.782816   599.364665   
1                    2200000   6.587013  0.193520    1.927041  1800.194083   
2                    2200000  24.000000  0.219118    8.102216   386.549100   
3                    2200000   0.000000  0.847059   68.213180   186.695244   
4                    2200000  14.000000  0.127407    4.101120   451.335242   
5                    2200000   0.000000  0.127685    1.518458    16.073664   
6                    2200000   0.000000  0.142088  -14.896524   105.908290   
7                    2200000   6.549245  0.140256    3.961641  1115.386240   
8                    2200000   6.999940  0.124447    2.492361  1019.596050   
9                    2200000   4.768275  0.113238    4.606872   880.821595   
10                   2200000   5.648573  0.110281    5.729652   743.550595   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0   11642.360742   8.109602                   0.206723   
1   12843.190160   5.578776                   0.210615   
2   11429.545177   6.367364                   0.199216   
3   11229.691321  21.401145                   0.217758   
4   11494.331319   4.703951                   0.234516   
5   11059.069740  11.287926                   0.194551   
6   11148.904367   7.632925                   0.205083   
7   12158.382316   4.059375                   0.245706   
8   11642.996077   5.241521                   0.224843   
9   11042.996077   4.606204                   0.211695   
10  11829.931863   5.476153                   0.193511   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.016226  0.048957  0.063523  0.035342      0.022757   
1                 0.045243  0.148331  0.045979  0.099269      0.016333   
2                 0.011764  0.034118  0.066844  0.020935      0.030135   
3                 0.006153  0.016432  0.058374  0.009574      0.028514   
4                 0.013691  0.040024  0.058998  0.022137      0.029422   
5                 0.000489  0.001448  0.032395  0.000762      0.015102   
6                 0.003583  0.009088  0.043931  0.004692      0.027209   
7                 0.037247  0.093725  0.097926  0.049492      0.063491   
8                 0.030211  0.089888  0.090637  0.047448      0.047748   
9                 0.023748  0.077019  0.102011  0.043415      0.045763   
10                0.019524  0.063441  0.076673  0.032113      0.036929   

                                                       \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Tỷ suất cổ tức (%)   
0        2392489775     1849370207           0.043011   
1        2186742087     1429711501           0.141429   
2        3029660407     2178460542           0.041667   
3        2894224335     1903292715           0.000000   
4        3149606492     2133799708           0.071429   
5        1513026588     1092892008           0.000000   
6        3044688740     1769428995           0.000000   
7        5457998869     4182739124           0.142857   
8        3545211004     3545211004           0.142857   
9        4259143291     3734163237           0.119048   
10       3717321658     3094147065           0.119048   

          Chỉ tiêu thanh khoản                             \
   Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                     3.037780                   0.416723   
1                     3.507283                   0.772392   
2                     2.105799                   0.240957   
3                     2.160521                   0.168781   
4                     1.894726                   0.252701   
5                     1.902201                   0.082037   
6                     1.653277                   0.070485   
7                     1.715134                   0.131408   
8                     1.742062                   0.176196   
9                     1.813416                   0.091828   
10                    2.000825                   0.184907   

                                                                       \
   Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                 1.518813                -4.887094          1.427022   
1                 2.183792                -2.791476          1.347355   
2                 1.312089                -2.850990          1.659256   
3                 1.209583                -2.431930          1.599620   
4                 0.988939                -2.448110          1.830087   
5                 0.905888                -0.868921          1.785125   
6                 0.810204                -1.232635          2.012312   
7                 0.805881                -3.285658          1.867418   
8                 0.904755                -2.847640          1.921233   
9                 1.136792                -3.483914          1.866243   
10                1.266564                -3.303346          1.687893   

   Chỉ tiêu hiệu quả hoạt động                                            \
             Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                     2.178086      28.806244                  55.557848   
1                     2.194126      25.218269                  52.755565   
2                     1.779633      16.908827                  62.693449   
3                     1.555956      12.919921                  57.793168   
4                     1.616832      11.754755                  50.850189   
5                     1.559784       9.882371                  61.872725   
6                     1.309669       7.504713                  77.509197   
7                     1.328727       7.864202                  81.897647   
8                     1.570542      10.243932                  84.760290   
9                     1.828150      10.287478                  80.309344   
10                    1.644812       8.527560                 107.407429   

                                                                       \
   Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                  78.112961                    16.425735  150.096543   
1                  65.637261                    14.964066  133.356892   
2                  81.076130                    15.247652  159.017231   
3                 100.292528                    18.934816  177.020513   
4                 100.182845                    26.822355  177.855388   
5                  97.671807                    27.181608  186.726139   
6                 115.510860                    24.301179  217.321237   
7                 119.132165                    30.413106  231.442919   
8                  93.499016                    34.219414  212.478720   
9                  72.022830                    22.147039  174.479212   
10                 65.246311                    53.035550  225.689290   

                          Chỉ tiêu cơ cấu nguồn vốn                           \
   Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0                4.672720                  0.136648  0.427022       0.099539   
1                5.560866                  0.100513  0.347355       0.109454   
2                4.501942                  0.296094  0.659256       0.153099   
3                3.639354                  0.319769  0.599620       0.190277   
4                3.643338                  0.430252  0.830087       0.222710   
5                3.737005                  0.386602  0.785125       0.275693   
6                3.159876                  0.642134  1.012312       0.323627   
7                3.063824                  0.596857  0.867418       0.351149   
8                3.903784                  0.527043  0.921233       0.287400   
9                5.067838                  0.506738  0.866243       0.293663   
10               5.594186                  0.570907  0.687893       0.335403   

                        
   Vốn CSH/Vốn điều lệ  
0             1.164236  
1             1.284319  
2             1.142955  
3             1.122969  
4             1.149433  
5             1.105907  
6             1.114890  
7             1.215838  
8             1.164300  
9             1.104300  
10            1.182993  
