    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
5                      -133375935                         433076898   
6                      -421888727                         558452833   
7                     -1943294336                         980341560   
8                      2525908767                        2923635896   
9                       153869362                         397727129   

   Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0      140590456             293171018   
1      140590456             211403538   
2        3779313                     0   
3     1403106547                     0   
4     1486813572                     0   
5     1486813572                     0   
6     1486813572                     0   
7     1715635443                     0   
8     1894817496                     0   
9              0                     0   

   Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                        1161355202             0   
1                                       11405785843             0   
2                                        7769113126   -1223178182   
3                                        1472916143             0   
4                                        2777574126             0   
5                                        2851816213    -262500000   
6                                        2510304022    -420227273   
7                                        6025649454   -1241936717   
8                                        2133790330  -12583266697   
9                                                 0   -3304865000   

   Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                65664612                    -33434335388   
1                               206399469                    -27746000531   
2                                 1512513                     56528334331   
3                                 1650105                         1650105   
4                                  899117                          899117   
5                                 5580675                      -256919325   
6                                  906112                      -419321161   
7                                 3183004                      1461246287   
8                                 1203763                    -12552062934   
9                                  941781                     -3103923219   

   Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu  \
0                                                  0        
1                                                  0        
2                                         5760000000        
3                                                  0        
4                                                  0        
5                                                  0        
6                                                  0        
7                                         1708320110        
8                                         2500000000        
9                                                  0        

   Lưu chuyển tiền từ hoạt động tài chính  \
0                              5561000004   
1                            100583712333   
2                              6590000000   
3                                       0   
4                                       0   
5                                       0   
6                                       0   
7                             -6901379890   
8                             14909700000   
9                               900000000   

   Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)  \
0                                        11500000000                        
1                                        41000000000                        
2                                                  0                        
3                                                  0                        
4                                                  0                        
5                                                  0                        
6                                                  0                        
7                                                  0                        
8                                                  0                        
9                                                  0                        

   Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                                  0           
1                                       -44600000000           
2                                        -8200000000           
3                                                  0           
4                                                  0           
5                                                  0           
6                                                  0           
7                                                  0           
8                                                  0           
9                                                  0           
  Meta          Chỉ tiêu định giá                                              \
    CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng) Số CP lưu hành (Triệu CP)   
0  DTI  2023  5          0.229872       31159128000                  13488800   
1  DTI  2022  5          0.267952       36305359754                  12097754   
2  DTI  2021  5          0.912749      117348213800                  12097754   
3  DTI  2020  5          1.340820      156108244946                  11521754   
4  DTI  2019  5          1.772005      206239396600                  11521754   
5  DTI  2018  5          1.723386      198690000000                  11100000   
6  DTI  2017  5          1.741293      198690000000                  11100000   
7  DTI  2016  5          1.742526      198690000000                  11100000   
8  DTI  2015  5          1.845244       33115000000                   1850000   
9  DTI  2014  5          1.904339       17900000000                   1000000   

                                                                               \
           P/E        P/S   P/Cash Flow   EPS (VND)    BVPS (VND)   EV/EBITDA   
0   535.789846   0.099181      1.130649    4.311392  10049.090310   34.303411   
1     5.241667   0.214171     -0.445892  572.527786  11199.765995   18.588350   
2    18.889213   2.016849     -2.190671  513.520613  10627.238210   14.313835   
3  3916.592893  22.972519    723.773709    3.459384  10105.008377  109.911831   
4   187.992699  27.229180  -1069.956011   95.216464  10101.548992   71.090175   
5   167.576984  28.716988   1608.260871  106.816578  10386.531697   69.519530   
6  2460.985990  10.705202 -77384.573561    7.273507  10279.715119   67.888715   
7    55.531594   9.082180     56.819884  322.339027  10272.441611   33.706691   
8   711.380655   5.935695    196.794825   25.162337   9700.615503   19.396181   
9   605.749845   3.029563      7.591847   29.550152   9399.588357    9.838676   

  Chỉ tiêu khả năng sinh lợi                                              \
      Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   
0                   0.014839                0.000185  0.000429  0.016065   
1                   0.048338                0.040859  0.052461  0.030428   
2                   0.141094                0.106773  0.050674  0.058542   
3                   0.703159                0.005865  0.000342  0.000112   
4                   0.734567                0.144842  0.009471  0.012122   
5                   0.709637                0.171366  0.010337  0.011840   
6                   0.236497                0.004350  0.000708  0.012546   
7                   0.296476                0.163550  0.054224  0.036395   
8                   0.648512                0.008344  0.003405  0.003978   
9                   1.000000                0.005001  0.003144  0.021417   

                                                           \
    ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng) EBIT (Tỷ đồng)   
0  0.000191      0.012530       4077171808     3936581352   
1  0.028963      0.042524       7349125959     7208535503   
2  0.041974      0.130193       7578905527     7575126214   
3  0.000331      0.001917       1416132238       13025691   
4  0.009250      0.186276       2897702469     1410888897   
5  0.009942      0.197286       2851816213     1365002641   
6  0.000674      0.077130       2918357579     1431544007   
7  0.048234      0.189696       5865590881     4149955438   
8  0.002151      0.018934       2000448674      105631178   
9  0.002106      0.042047       2002532928      248430502   

         Chỉ tiêu thanh khoản                             \
  Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                    1.189239                   0.011361   
1                    1.346211                   0.006603   
2                    2.696042                   0.217081   
3                    5.960758                   0.157094   
4                   36.444002                   0.703152   
5                   18.328294                   0.799412   
6                    1.792430                   0.090837   
7                    3.158654                   0.353429   
8                   50.167327                   7.340739   
9                    0.499558                   0.163585   

                                                                      \
  Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                1.141102                -0.309964          2.257196   
1                1.144223                -3.452901          2.245425   
2                2.695307                 0.000000          1.353833   
3                5.734853                 0.000000          1.045694   
4               34.917116                 0.000000          1.023734   
5               17.372485                 0.000000          1.024053   
6                1.708878                 0.000000          1.055674   
7                2.914416               -68.848075          1.044587   
8               46.029026                -0.517042          1.629872   
9                0.189509                -1.373408          1.492715   

  Chỉ tiêu hiệu quả hoạt động                                            \
            Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                    1.029713     345.214737                  36.451995   
1                    0.708836     161.343859                  19.320560   
2                    0.393117      83.882873                  32.735859   
3                    0.056369      15.314296                   4.496943   
4                    0.063860       9.055442                   3.261020   
5                    0.058015       5.460870                  94.995428   
6                    0.154948      10.933378                  60.692761   
7                    0.294920       3.912757                  21.489475   
8                    0.257803       0.505207                   0.088860   
9                    0.421102       0.461009                   0.000000   

                                                                      \
  Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                 19.699786                    53.760644  109.912424   
1                 34.167900                    52.558280  106.046740   
2                  2.006503                    32.330846   67.073208   
3                 93.482686                    43.008444  140.988073   
4                 93.876225                    21.583914  118.721159   
5                 94.343300                   334.545607  523.884335   
6                 13.420236                    71.486881  145.599877   
7                 13.703086                    23.494519   58.687081   
8                118.122989                     6.626331  124.838180   
9                  0.000000                     0.000000    0.000000   

                         Chỉ tiêu cơ cấu nguồn vốn                           \
  Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0              18.528120                  1.547988  1.257196       0.006195   
1              10.682541                  0.752160  1.245425       0.007236   
2             181.908566                  0.012912  0.353833       0.008719   
3               3.904466                  0.000000  0.045694       0.002284   
4               3.888098                  0.000000  0.023734       0.005337   
5               3.868849                  0.000000  0.024053       0.009122   
6              27.197734                  0.000000  0.055674       0.012991   
