     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
3                                 -1313833332   
4                                 -2036974677   
5                                 -1845724645   
6                                  -650420525   
7                                 -1366731387   
8                                  -488282927   
9                                  -342355434   
10                                -2664213246   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     22895330958   
1                                     30682049421   
2                                     21158665287   
3                                     16096084978   
4                                     40578491440   
5                                     11238089506   
6                                     20975739075   
7                                      7236326604   
8                                     20147731013   
9                                      9535956957   
10                                     6374958670   

    Tiền thu được từ thanh lý tài sản cố định  Tiền thu được các khoản đi vay  \
0                                           0                    242569379307   
1                                     9090909                    257664112496   
2                                   986363636                    203583894948   
3                                 10050000000                    175709262637   
4                                   752727272                    176016009160   
5                                           0                    187692608320   
6                                           0                    221070910911   
7                                   300000000                    232415758377   
8                                           0                    217120933893   
9                                    62727273                    198835343401   
10                                          0                    206764978248   

    Tiền trả các khoản đi vay  Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0               -245613722361   -15895068800                     -6829801746   
1               -248576359935    -9461418000                      6037834909   
2               -205390699370    -7209134400                      1522291184   
3               -179494170671              0                     -6418083076   
4               -186556198070              0                      6051929843   
5               -192986225103              0                     -3238833889   
6               -241762397654    -2633089500                     -3809957086   
7               -221704994180    -8792165000                       420003404   
8               -226033782875    -4665848000                     -2570515472   
9               -180993409281    -3459742410                      9028011937   
10              -172821247917    -7316226990                       666344328   

    Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                          22717730                        4154823251   
1                                 0                       10961907267   
2                                 0                        4924072358   
3                                 0                        3401781174   
4                                 0                        9819864250   
5                                 0                        3767934407   
6                                 0                        7006768295   
7                                 0                       10816725381   
8                            307337                       10396721977   
9                           7162034                       12966930112   
10                           641721                        3931756141   

    Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0     12076799878             -60875329   
1     11359076083           -1190035528   
2     13892444743                     0   
3     15944130644                     0   
4     13984937925                     0   
5     13049530313                     0   
6     12870202186                     0   
7     12690668374                     0   
8     10888107610                     0   
9      7349950357                     0   
10     4708827677             -56236833   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                        32117712067  -10792940422   
1                                        35535105843  -29017193075   
2                                        29475290256  -16198274662   
3                                        29256697189  -28784104955   
4                                        28996366595  -28649038199   
5                                        27969270261  -12541078615   
6                                        29684702139   -4394084883   
7                                        28935284944   -9060506414   
8                                        25318106875   -9292838019   
9                                        19002099456  -15163873534   
10                                       15436386652  -32462349087   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                  7219572                    -10785720850   
1                                  7553093                    -29000549073   
2                                 91475745                    -15120435281   
3                                  4844935                    -18729260020   
4                                  9938240                    -27886372687   
5                                  7772003                    -12533306612   
6                                  7964966                     -4386119917   
7                                 25584017                     -8734922397   
8                                153288516                     -9139549503   
9                                211009531                    -14890136730   
10                               126231404                    -32336117683   

    Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu  \
0                                                   0        
1                                          4730000000        
2                                          4500000000        
3                                                   0        
4                                          3900000000        
5                                          3350000000        
6                                          2924999999        
7                                                   0        
8                                                   0        
9                                                   0        
10                                                  0        

    Lưu chuyển tiền từ hoạt động tài chính  
0                             -18939411854  
1                               4356334561  
2                              -4515938822  
3                              -3784908034  
4                              -6640188910  
5                              -1943616783  
6                             -20399576244  
7                               1918599197  
8                             -13578696982  
9                              14382191710  
10                             26627503341  
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   HDP  2023  5          1.396295      175839198600   
1   HDP  2022  5          1.295631      168885106000   
2   HDP  2021  5          1.104337      130567568400   
3   HDP  2020  5          1.223875      136360777176   
4   HDP  2019  5          1.255958      131568739500   
5   HDP  2018  5          1.228493      113915507200   
6   HDP  2017  5          1.201049       98669588600   
7   HDP  2016  5          1.214438       93972038600   
8   HDP  2015  5          1.240436       93972038600   
9   HDP  2014  5          1.284224       93972038600   
10  HDP  2013  5          1.307632       93972038600   

                                                                            \
   Số CP lưu hành (Triệu CP)        P/E       P/S P/Cash Flow    EPS (VND)   
0                    9934418  14.148541  0.422470    7.680134  1251.012423   
1                    9934418  10.622021  0.356613    5.504362  1696.075911   
2                    9461418  13.710059  0.376639    6.170879  1006.560249   
3                    9011418  18.780776  0.413253    8.471674   805.717518   
4                    8192325  16.065375  0.394800    3.242327  1072.904737   
5                    7093120  15.988139  0.345126   10.136555  1117.279981   
6                    6143810  12.814061  0.269613    4.703986  1367.246574   
7                    5851310  12.681912  0.246140   12.986152  1386.001864   
8                    5851310  11.193518  0.263322    4.664150  1434.758962   
9                    5851310  17.022161  0.295666    9.854495   943.475995   
10                   5851310  16.702940  0.332480   14.740808   961.507351   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0   12676.406039   6.863287                   0.250051   
1   13121.020758   5.720917                   0.280449   
2   12496.181412   5.708538                   0.267888   
3   12364.007849   6.100590                   0.276134   
4   12787.050146   5.931719                   0.281832   
5   13072.923958   6.191481                   0.270069   
6   13371.640302   5.301993                   0.248826   
7   13224.222307   6.013997                   0.237886   
8   12947.062154   6.331739                   0.228041   
9   12505.607286   9.316111                   0.210287   
10  12281.738991  12.219043                   0.218786   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.029860  0.096709  0.115085  0.045038      0.049310   
1                 0.035579  0.135104  0.139239  0.063206      0.054643   
2                 0.027472  0.082594  0.098230  0.039765      0.046669   
3                 0.022004  0.066843  0.085695  0.032182      0.041488   
4                 0.026375  0.088368  0.097119  0.039429      0.045733   
5                 0.024010  0.089696  0.094879  0.034821      0.044775   
6                 0.022953  0.104046  0.113850  0.036286      0.046831   
7                 0.021242  0.105233  0.094837  0.036234      0.041362   
8                 0.023524  0.112739  0.094916  0.039957      0.040741   
9                 0.017369  0.076126  0.066533  0.027631      0.033391   
10                0.019905  0.077273  0.058889  0.031679      0.029245   

                                                       \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Tỷ suất cổ tức (%)   
0       32600457562    20523657684           0.067797   
1       37236944584    25877868501           0.094118   
2       30071093900    16178649157           0.072464   
3       29633904955    13689774311           0.052868   
4       29225777063    15240839138           0.000000   
5       27828232016    14778701703           0.000000   
6       30008872242    17138670056           0.000000   
7       28482027812    15791359438           0.000000   
8       25427462383    14539354773           0.062267   
9       17962719928    10612769571           0.049813   
10      12974496617     8265668940           0.056040   

          Chỉ tiêu thanh khoản                             \
   Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                     1.130706                   0.031626   
1                     1.239797                   0.081133   
2                     1.230448                   0.041647   
3                     1.216034                   0.030962   
4                     1.238136                   0.100721   
5                     1.173525                   0.031066   
6                     1.247763                   0.060465   
7                     1.255925                   0.093839   
8                     1.336154                   0.115210   
9                     1.332534                   0.156143   
10                    1.261352                   0.046167   

                                                                       \
   Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                 0.595680                -4.566239          2.103539   
1                 0.656501                -6.175902          2.189543   
2                 0.570678                -4.438447          2.080223   
3                 0.687226                -3.315633          2.073726   
4                 0.737166                -3.301029          2.080537   
5                 0.611988                -2.763974          2.421853   
6                 0.746474                -2.633665          2.749568   
7                 0.766017                -2.308699          2.992238   
8                 0.768428                -3.233544          2.813171   
9                 0.747784                -2.097024          2.830185   
10                0.610182                -2.424496          2.678530   

   Chỉ tiêu hiệu quả hoạt động                                            \
             Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                     1.508319       3.823367                  61.871462   
1                     1.776496       4.646018                  50.800180   
2                     1.447483       4.043472                  64.585967   
3                     1.462555       3.985571                  65.523224   
4                     1.494957       4.378109                  56.669247   
5                     1.450250       4.729958                  62.878147   
6                     1.580882       4.647495                  66.373004   
7                     1.705770       4.595907                  58.867869   
8                     1.698521       4.200940                  51.820032   
9                     1.590800       3.734744                  51.809474   
10                    1.591454       4.369955                  64.863980   

                                                                       \
   Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                  85.514678                    81.097396  228.483535   
1                  82.961439                    68.456042  202.217661   
2                  95.665848                    73.698026  233.949841   
3                  79.746778                    67.452038  212.722040   
4                  87.651708                    68.572961  212.893916   
5                  94.017663                    74.472306  231.368116   
6                  74.880507                    64.912793  206.166305   
7                  66.409482                    57.534841  182.812191   
8                  64.314195                    52.071880  168.206107   
9                  70.768696                    56.243287  178.821457   
10                 78.492376                    71.002657  214.359014   

                          Chỉ tiêu cơ cấu nguồn vốn                           \
   Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0                4.268273                  0.472177  1.103539       0.847060   
1                4.399634                  0.574249  1.189543       0.847151   
2                3.815364                  0.467851  1.080223       0.784468   
3                4.576987                  0.514900  1.073726       0.700160   
4                4.164209                  0.642302  1.080537       0.828113   
5                3.882249                  0.783411  1.421853       0.694565   
6                4.874433                  1.162907  1.749568       0.897119   
7                5.496203                  1.631284  1.992238       1.058299   
8                5.675263                  1.624082  1.813171       1.098183   
9                5.157648                  1.861149  1.830185       1.184919   
10               4.650133                  1.432569  1.678530       1.161872   

                        
   Vốn CSH/Vốn điều lệ  
0             1.271070  
1             1.316092  
2             1.194672  
3             1.126640  
4             1.060145  
5             0.942312  
6             0.836425  
7             0.788933  
8             0.762574  
9             0.736572  
10            0.723387  
