    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
9        -655738563                            304428259456     2979497947   

   Lợi nhuận khác  LN trước thuế  Thuế TNDN  Chi phí thuế TNDN hiện hành  \
0        80390028   -12441876599          0                            0   
1     -7507293047   -24727777908 -109059550                   -109059550   
2      7821965144      432553220          0                            0   
3     -5268872160   -29485581749          0                            0   
4     -4449684812   -21984321091          0                            0   
5     -4375199907   -16403368282          0                            0   
6       931919218   -16443232094   59826831                     59826831   
7      3477723527      504877506 -101333861                   -101333861   
8      3252603711     6643043169 -372501430                   -372501430   
9      2928301602     6325578127          0                            0   

   Lợi nhuận thuần  Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0     -12441876599            -12441876599                      -848  
1     -24836837458            -24836837458                     -1692  
2        432553220               432553220                        29  
3     -29485581749            -29485581749                     -2009  
4     -21984321091            -21984321091                     -1498  
5     -16403368282            -16403368282                        91  
6     -16383405263            -16383405263                         0  
7        403543645               403543645                         0  
8       6270541739              6270541739                         0  
9       6325578127              6325578127                         0  
    CP   Năm  Tiền và tương đương tiền  \
0  FGL  2023                 166964709   
1  FGL  2022                 504054888   
2  FGL  2021                 771362754   
3  FGL  2020                 916827367   
4  FGL  2019               11650358373   
5  FGL  2018               15868063289   
6  FGL  2017                8923455368   
7  FGL  2016               21689963923   
8  FGL  2015                6719164164   
9  FGL  2014               19957590118   

   Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     8231104830   
1                                   -25503448262   
2                                    -3267328725   
3                                    -3659310066   
4                                     4046205520   
5                                    39393141624   
6                                    31145170741   
7                                   -19419606979   
8                                    20924383009   
9                                   -17893068692   

   Tiền thu được từ thanh lý tài sản cố định  Tiền thu được các khoản đi vay  \
0                                          0                      8682876300   
1                                  454545454                     37643600000   
2                                          0                      4586694700   
3                                          0                     19868480000   
4                                          0                     48622283000   
5                                          0                     76881521235   
6                                          0                    136356373662   
7                                          0                     98666530110   
8                                          0                    137804051738   
9                                          0                    117358350738   

   Tiền trả các khoản đi vay  Lưu chuyển tiền thuần trong kỳ  \
0               -16456343800                       509636229   
1               -12936305800                      -337099380   
2                -1590100000                      -267313201   
3               -16234667000                      -145441397   
4               -33820093779                    -10733593475   
5              -118939913065                     -4218484277   
6              -154166895038                      6944607921   
7               -88146116024                    -12766508555   
8              -137255010102                     14970799759   
9              -110139370901                    -13238425954   

   Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                             4345                         676605283   
1                             9201                         166964709   
2                             5335                         504054888   
3                           -23216                         771362754   
4                            62469                         916827367   
5                           779361                       11650358373   
6                                0                       15868063289   
7                                0                        8923455368   
8                                0                       21689963923   
9                                0                        6719164164   

   Khấu hao TSCĐ  Mua sắm TSCĐ  Tiền thu cổ tức và lợi nhuận được chia  \
0              0             0                                51998899   
