     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
8               3884576112                       396  
9               2450747100                       277  
10              1004519703                       114  
     CP   Năm  Tiền và tương đương tiền  Lãi/Lỗ từ hoạt động đầu tư  \
0   DND  2023                4569089916                 -2830356036   
1   DND  2022               13906165095                 -1444655557   
2   DND  2021                9480529891                  -844077534   
3   DND  2020               21684672682                  -948742023   
4   DND  2019               29617506836                 -1620043551   
5   DND  2018               24331310436                 -2778537685   
6   DND  2017               20104336370                 -1377405656   
7   DND  2016               13434948803                 -1892598503   
8   DND  2015                6518667645                 -1521186256   
9   DND  2014                6145585715                           0   
10  DND  2013                4670765047                           0   

    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0     1727334600                    3498211965                    3498211965   
1     1124452301                    5493096163                    5493096163   
2      175246605                    3659754520                    3659754520   
3      236836393                    1909567624                    1909567624   
4      247053659                   -9627385521                   -9627385521   
5      415828163                    3530553332                    3530553332   
6      547900442                   -3253783929                   -3253783929   
7      502618918                    7448121431                    7448121431   
8      603050428                   -1365926325                   -1365926325   
9              0                             0                             0   
10             0                             0                             0   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0              -4064482076                   -4775663011   
1               2404799442                   16552643880   
2                -81743335                    -793706696   
3              -1268093717                   -4679384605   
4               1111279308                   -1620761746   
5              -1119470311                   -8448061576   
6               -236607539                    1766998506   
7               -888977802                   10476642639   
8               1311346148                    1454087723   
9                        0                             0   
10                       0                             0   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                    -4775663011                    436413376   
1                    16552643880                 -27442446334   
2                     -793706696                   2743571692   
3                    -4679384605                  -8981843988   
4                    -1620761746                   6962274352   
5                    -8448061576                   1364117292   
6                     1766998506                   8181746442   
7                    10476642639                 -14256003004   
8                     1454087723                   5409820030   
9                              0                            0   
10                             0                            0   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0              -1727334600                                  0   
1              -1124452301                         -245166913   
2               -175246605                        -3312686801   
3               -236836393                        -1116829721   
4               -247053659                        -5832077675   
5               -415828163                        -2970351160   
6               -547900442                        -1352568708   
7               -502618918                         -800000000   
8               -603050428                        -1286563119   
9                        0                                  0   
10                       0                                  0   

