    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
   Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0                 0                            292879371500   
1                 0                            347147635617   
2                 0                            325364673460   
3         -22196000                            281995256047   
4                 0                            243357262592   
5                 0                            239419568054   
6                 0                            216513559234   
7                 0                            195186861600   
8                 0                            167525290324   

   Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  LN trước thuế  \
0                      -1393280      329847553       -43067633    14627091499   
1                      -2142720      677267541     -1326115112    13717273889   
2                       -358720       14545455       -61578313    12446504732   
3                      -1920000       86910791      -131795777    11613373221   
4                       -280000      342040496       241677376     8627843899   
5                       -703500      113432211       -18033565     6351744426   
6                     -37170909      655949492      -505189661     5180385354   
7                    -878468433      979170454      -661219111     4409878474   
8                    -752153516      213896639        38893709     4679109537   

    Thuế TNDN  Chi phí thuế TNDN hiện hành  Chi phí thuế TNDN hoãn lại  \
0 -2152542383                  -2152542383                           0   
1 -2213400171                  -2213400171                           0   
2 -1900819185                  -1900819185                           0   
3 -1626739741                  -1626739741                           0   
4 -1505493135                  -1505493135                           0   
5 -1079023420                   -873278844                  -205744576   
6  -819565940                   -920075424                   100509484   
7  -488217932                   -604752004                   116534072   
8  -739905455                   -446804426                  -293101029   

   Lợi nhuận thuần  Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0      12474549116             12474549116                      1906  
1      11503873718             11503873718                      1342  
2      10545685547             10545685547                      1230  
3       9986633480              9986633480                      1664  
4       7122350764              7122350764                      1187  
5       5272721006              5272721006                       879  
6       4360819414              4360819414                       727  
7       3921660542              3921660542                       523  
8       3939204082              3939204082                       591  
    CP   Năm  Tiền và tương đương tiền  \
0  HEP  2023               49377236208   
1  HEP  2022               87917300352   
2  HEP  2021              110012095332   
3  HEP  2020               91997818831   
4  HEP  2019               55189114608   
5  HEP  2018               52716886925   
6  HEP  2017               59053022685   
7  HEP  2016               55186931161   
8  HEP  2015               46136721421   

   Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                       50179542   
1                                   -20097259940   
2                                       17345972   
3                                    56768632166   
4                                    49233965495   
5                                   -10613788153   
6                                     1789597122   
7                                    16758744681   
8                                    16503339456   

   Tiền thu được từ thanh lý tài sản cố định  Tiền trả các khoản đi vay  \
0                                          0                          0   
1                                  332000000                          0   
2                                   14545455                          0   
3                                   86909091                          0   
4                                          0                -6916392522   
5                                          0                -6916392520   
6                                  259545454                -6916392520   
7                                  247465909                -6916392520   
8                                          0                -5814195306   

   Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0    -5760000000                    -15798049063   
1    -5274000000                    -38253466186   
2    -4992671538                    -21491930752   
3    -2179356000                     16982474825   
4    -1984569000                     36748247814   
5    -3420576200                      2472132100   
6    -3136200000                     -6337497257   
7    -3151000000                      3864713097   
8              0                      9059140637   

   Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                                0                       33579187145   
1                       -286597958                       49377236208   
2                       -602864228                       87917300352   
3                       1031801676                      110012095332   
4                         60456409                       91997818831   
5                            95583                       55189114608   
6                          1361497                       52716886925   
7                          1378427                       59053022685   
8                         -8930897                       55186931161   

   Mua sắm TSCĐ  Tiền thu cổ tức và lợi nhuận được chia  \
0  -11061563433                               973334828   
1  -14835675613                              1621469367   
2  -18215351875                              1684201234   
3  -10264692336                              2570981904   
4   -5353951264                              1946478402   
5    -583380334                              2496301130   
6    -458393751                              2124346438   
7   -4794350473                              1720245500   
8   -3063516969                              1433513456   

   Lưu chuyển từ hoạt động đầu tư  Lưu chuyển tiền từ hoạt động tài chính  \
0                    -10088228605                             -5760000000   
1                    -12882206246                             -5274000000   
2                    -16516605186                             -4992671538   
3                    -37606801341                             -2179356000   
4                     -3584756159                             -8900961522   
5                     23422888973                            -10336968720   
6                      1925498141                            -10052592520   
7                     -2826639064                            -10067392520   
8                     -1630003513                             -5814195306   

   Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)  \
0                                                  0                        
1                                                  0                        
2                                                  0                        
3                                                  0                        
4                                        15823716703                        
5                                        21509968177                        
6                                                  0                        
7                                                  0                        
8                                                  0                        

   Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                                  0           
1                                                  0           
2                                                  0           
3                                       -30000000000           
4                                       -16001000000           
5                                                  0           
6                                                  0           
7                                                  0           
8                                                  0           
  Meta          Chỉ tiêu định giá                                              \
    CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng) Số CP lưu hành (Triệu CP)   
0  HEP  2023  5          1.050881       96600000000                   6000000   
1  HEP  2022  5          0.787457       73200000000                   6000000   
2  HEP  2021  5          2.382546      233400000000                   6000000   
3  HEP  2020  5          1.019082       96000000000                   6000000   
4  HEP  2019  5          0.940608       84000000000                   6000000   
5  HEP  2018  5          1.125779       84000000000                   6000000   
6  HEP  2017  5          1.153870       84000000000                   6000000   
7  HEP  2016  5          1.091951       84000000000                   6000000   
8  HEP  2015  5          1.088784       84000000000                   6000000   

                                                                            \
         P/E       P/S   P/Cash Flow    EPS (VND)    BVPS (VND)  EV/EBITDA   
0  11.062866  0.329830   1925.087319  2079.091519  15320.485611   2.872448   
1   9.081013  0.210863     -3.642288  1917.312286  15492.904790   0.293953   
2  31.617534  0.717350  13455.573432  1757.614258  16327.069885   8.730387   
3  13.732641  0.340434      1.691075  1664.438913  15700.400140  -0.206069   
4  15.717871  0.345172      1.706139  1187.058461  14883.989695  -0.117745   
