    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
7       -10928864628        -27304914002        -27304914002   
8       -13422494514        -22122936964        -22122936964   
9       -18081355715        -30090622006        -30090622006   

   Lãi/Lỗ từ hoạt động kinh doanh  Lãi/Lỗ từ hoạt động kinh doanh  \
0                     26032446332                     26032446332   
1                      5596379857                      5596379857   
2                      3517830250                      3517830250   
3                     13353401051                     13353401051   
4                     11333966565                     11333966565   
5                      8043288766                      8043288766   
6                      5266198108                      5266198108   
7                     -8452629753                     -8452629753   
8                      3090912633                      3090912633   
9                      3621201118                      3621201118   

   Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0             -648827077     -925859540344     -147956607641   
1             -111550564     -992218524132     -119366495058   
2             -400907292     -662288385785     -102618615788   
3             -591543935     -697613482757      -80395964064   
4             -136830921     -670321790793      -70227991727   
5            -1574653500     -799171370140      -66664561041   
6             -442631270     -828239861711      -57253209954   
7             -155560643     -607270650934      -52996986713   
8              -45194020     -700925013282      -53282235520   
9             -911937538     -724793486987      -54739689994   

   Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0     -147956607641                           1156626517096   
1     -119366495058                           1172503975187   
2     -102618615788                            807541420772   
3      -80395964064                            832183581577   
4      -70227991727                            787194350967   
5      -66664561041                            902856944099   
6      -57253209954                            924156902263   
7      -52996986713                            688516097915   
8      -53282235520                            792242289088   
9      -54739689994                            830378045294   

   Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  LN trước thuế  \
0                             0     3200607531      2551780454    28584226786   
1                             0    21049451679     20937901115    26534280972   
2                             0    21562098109     21161190817    24679021067   
3                             0     8453245197      7861701262    21215102313   
4                             0     6645825790      6508994869    17842961434   
5                             0     7920507395      6345853895    14389142661   
6                     -29700000     6958180023      6515548753    11781746861   
7                             0    16612661532     16457100889     8004471136   
8                     -14025000     9715522579      9670328559    12761241192   
9                    -428136365     9705941461      8794003923    12415205041   

    Thuế TNDN  Chi phí thuế TNDN hiện hành  Chi phí thuế TNDN hoãn lại  \
0  4786394001                   4819890923                   -33496922   
1 -5344387760                  -5344387760                           0   
2 -4916408443                  -4916408443                           0   
3 -4252171032                  -4252171032                           0   
4 -3584018295                  -3584018295                           0   
5 -2617191931                  -2855480208                   238288277   
6 -2413155063                  -2413155063                           0   
7 -1728143937                  -1728143937                           0   
8 -2753785124                  -2753785124                           0   
9 -3025052000                  -3025052000                           0   

   Lợi nhuận thuần  Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0      33370620787             33370620787                      3367  
1      21189893212             21189893212                      2373  
2      19762612624             19762612624                      2435  
3      16962931281             16962931281                      2299  
4      14258943139             14258943139                      1932  
5      11771950730             11771950730                      1698  
6       9368591798              9368591798                      1397  
7       6276327199              6276327199                       936  
8      10007456068             10007456068                      1492  
9       9390153041              9390153041                      1400  
    CP   Năm  Tiền và tương đương tiền  \
0  HPT  2023                7274919184   
1  HPT  2022               27568054523   
2  HPT  2021               24405413696   
3  HPT  2019               37756252938   
4  HPT  2018               14595040001   
5  HPT  2017               31137212964   
6  HPT  2016               14281993654   
7  HPT  2015               68442502418   
8  HPT  2014               37153833986   
9  HPT  2013               34633915602   

   Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  \
0                               1318555630   
1                               -397288759   
2                                -12491846   
3                                        0   
4                               -114622145   
5                                -40248788   
6                                 24797013   
7                                171990942   
8                                        0   
9                                        0   

   Lãi/Lỗ từ thanh lý tài sản cố định  Lãi/Lỗ từ thanh lý tài sản cố định  \
0                                   0                                   0   
1                                   0                                   0   
2                                   0                                   0   
3                           -15407084                           -15407084   
4                                   0                                   0   
5                                   0                                   0   
6                                   0                                   0   
7                                   0                                   0   
8                                   0                                   0   
9                                   0                                   0   

   Lãi/Lỗ từ hoạt động đầu tư  Thu nhập lãi  Tăng/Giảm các khoản phải thu  \
0                  -163466126    2733548090                  -36510271383   
1                   -44490836    2910767676                  -68681639989   
2                  -179910786    4341576495                   53440448346   
3                  -423934111    5151304743                  -67329889281   
4                  -102537091    6094326696                   81527349270   
5                  -290504292    5467927336                  -62272610644   
6                  -272101458    5203109311                   28376254170   
7                  -300236536    8626967200                   50413317329   
8                  -394689726   13104996619                  -10406251412   
9                  -317748800   16600071612                  -64794184343   

   Tăng/Giảm các khoản phải thu  Tăng/Giảm hàng tồn kho  \
0                  -36510271383             22541367149   
1                  -68681639989            -13644102780   
2                   53440448346             -7111860503   
3                  -67329889281            -21347993689   
4                   81527349270             28764985603   
5                  -62272610644             30579551178   
6                   28376254170            -35155018419   
7                   50413317329             -6785166374   
8                  -10406251412             11836973307   
9                  -64794184343              1309784778   

   Tăng/Giảm các khoản phải trả  Tăng/Giảm các khoản phải trả  \
0                   -2055029149                   -2055029149   
1                   47005179258                   47005179258   
2                   24389650914                   24389650914   
3                   88849630079                   88849630079   
4                  -80668816698                  -80668816698   
5                  -19579519080                  -19579519080   
6                   66205135859                   66205135859   
7                  -41780390417                  -41780390417   
8                   16592002524                   16592002524   
9                   57171938198                   57171938198   

   Tăng/Giảm chi phí trả trước  Chi phí lãi vay đã trả  \
0                   3842591404             -2733548090   
1                  -9540842670             -2910767676   
2                  -7008497710             -4341576495   
3                   -215555086             -5151304743   
4                    -80037466             -6094326696   
5                  -1505270609             -5467927336   
6                    923652447             -5203109311   
7                    431484981             -8626967200   
8                   2724866866            -13104996619   
9                  -3669206416            -16600071612   

   Tiền thu nhập doanh nghiệp đã trả  \
0                        -2644387760   
1                        -4466408443   
2                        -3503659609   
3                        -5163018295   
4                        -1870480207   
5                        -1628890267   
6                        -2282780464   
7                        -2917934133   
8                        -2339799526   
9                        -2959117528   

   Tiền thu khác từ các hoạt động kinh doanh  \
0                                          0   
1                                          0   
2                                          0   
3                                 8453245197   
4                                          0   
5                                 1719408493   
6                                          0   
7                                          0   
8                                          0   
9                                          0   

   Tiền chi khác từ các hoạt động kinh doanh  \
0                                -4702274000   
1                                -5832550000   
2                                -4344093000   
3                                -4569741329   
4                                -2585838165   
5                                          0   
6                                          0   
7                                          0   
8                                          0   
9                                          0   

   Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                    14036755719   
1                                   -23849329474   
2                                    85842679397   
3                                    20762334955   
4                                    43417966882   
5                                   -38753398514   
6                                    72063718935   
7                                     8643572598   
8                                    32448240669   
9                                     1700166210   

   Tiền thu được từ thanh lý tài sản cố định  \
0                                          0   
