     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
4      -154914837811                           2169602607962     4978301970   
5      -196009454640                           3444077235545     6067543225   
6      -218050750803                           3893362485729   112186202813   
7      -205296680755                           3261061602520     7842240129   
8      -252144528769                           3151854245484     4018592052   
9      -261043844641                           3411407008283     6284407630   
10     -283107049242                           3334652460981     7924164832   

    Lợi nhuận khác  LN trước thuế    Thuế TNDN  Chi phí thuế TNDN hiện hành  \
0        297867146    13117465337  -7821599117                  -7821599117   
1      12013991058    26946396215  -7622116589                  -7603571121   
2       3193628395    18202882528  -4168572560                  -4187118028   
3       1013821677     8432448452  -6408411217                  -6396157814   
4       4296079205    16393862267  -3479309607                  -3479309607   
5     -42387165397    51101227220 -19904791233                 -18585754181   
6     102738483944   143143326060 -28647416716                 -29100189520   
7       4311077050    72063931823 -14422386365                 -15038869711   
8       3415114424    53280654528 -11780438485                 -12042472790   
9       5447103683    47297811351 -10477656878                 -10477656878   
10      7583311714    33042918639  -8260729660                  -8260729660   

    Chi phí thuế TNDN hoãn lại  Lợi nhuận thuần  Cổ đông của Công ty mẹ  \
0                            0       5295866220              5295866220   
1                    -18545468      19324279626             19324279626   
2                     18545468      14034309968             14034309968   
3                    -12253403       2024037235              2024037235   
4                            0      12914552660             12914552660   
5                  -1319037052      31196435987             31196435987   
6                    452772804     114495909344            114495909344   
7                    616483346      57641545458             57641545458   
8                    262034305      41500216043             41500216043   
9                            0      36820154473             36820154473   
10                           0      24782188979             24782188979   

    Lãi cơ bản trên cổ phiếu  
0                        170  
1                        294  
2                        450  
3                         65  
4                        414  
5                       1000  
6                       3670  
7                       1847  
8                       1330  
9                       2360  
10                      1589  
     CP   Năm  Tiền và tương đương tiền  \
0   VTV  2023               11825416819   
1   VTV  2022              102039744279   
2   VTV  2021                4595655269   
3   VTV  2020               40964841863   
4   VTV  2019               27116752660   
5   VTV  2018              107096332487   
6   VTV  2017               22426671920   
7   VTV  2016              101509919554   
8   VTV  2015              209541524458   
9   VTV  2014              183365332465   
10  VTV  2013              273767716238   

    Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  Lãi/Lỗ từ hoạt động đầu tư  \
0                                         0                   -51365012   
1                                         0                 -5372728409   
2                                         0                   -13634453   
3                                         0                   -39866491   
4                                         0                  -110187816   
5                                  -7439720                  -252073397   
6                                  32667204                -91428892852   
7                                  26069355                  -380109403   
8                                -304775322                 -1105657726   
9                                         0                 -5515312066   
10                                        0                 -7191644761   

