     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
    Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                                   0             
1                                                   0             
2                                                   0             
3                                           420000000             
4                                                   0             
5                                                   0             
6                                                   0             
7                                                   0             
8                                                   0             
9                                                   0             
10                                                  0             

    Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  \
0                      81628137720               -53327940589   
1                      28267594764               -47136523031   
2                      21718690119               -36528807923   
3                      63624393431               -74823781336   
4                      52533656371               -91029411484   
5                     111514422891               -62982798328   
6                     130314019227              -143806346908   
7                     108693302565              -123827710381   
8                      76187830189               -87833337746   
9                     101099079656              -132052302430   
10                               0               -42210669781   

    Lưu chuyển tiền thuần trong kỳ  Tiền và tương đương tiền cuối kỳ  \
0                       3870398981                        7360520675   
1                     -26720990591                        3490121694   
2                      25152063040                       30211112285   
3                       -679720859                        5059049245   
4                      -1317595735                        5738770104   
5                      -2004839988                        7056365839   
6                     -45676382044                        9061205827   
7                      46937308454                       54737587871   
8                       2461587364                        7800279417   
9                      -8362469090                        5338692053   
10                     -7417734445                       13701161143   

    Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0      1163468380                     0   
1      1189516661           -3595009382   
2      1349332129           -8392616173   
3      1210417820             841084969   
4      1115132665            3441854124   
5      1685420886            4835672643   
6      2451117042          -34661802633   
7      2951626660              50229628   
8      4444875670              81195415   
9      4753445395            8089954745   
10     3327373715              50000000   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                         2842026854     -48000000   
1                                        -1398586203             0   
2                                         -302906099     -71800000   
3                                         7672232286             0   
4                                        14202408521             0   
5                                         8527004903    -936454545   
6                                         2581096769             0   
7                                        10981499919   -1205354376   
8                                        12714732227     -31818182   
9                                        14574132790             0   
10                                       14383754038             0   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                902658842                       945567933   
1                               2489115181                     22789115181   
2                                  1634622                    -15070165378   
3                                 46183159                       556183159   
4                                 39008303                       175371939   
5                                 16778757                     -1319675788   
6                                 22670428                       122670428   
7                                 60481850                     -1144872526   
8                                 61834588                        30016406   
9                                180169620                       180169620   
10                               243313797                      2230497790   

    Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu  \
0                                                   0        
1                                                   0        
2                                                   0        
