     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
10                     -1415116225                     -1415116225   

    Thu nhập/Chi phí khác  Giá vốn hàng bán  Chi phí bán hàng  \
0             -1116255653     -209148816553       -8799319846   
1             -1313138343     -233184951030      -10062728801   
2             -1055273382     -258106183932      -10552980317   
3             -1254986778     -243761241182      -11721772082   
4             -1451565524     -266664293121      -12020656084   
5             -1099463736     -257383578889      -11603368644   
6             -1218893914     -253199052438      -10383404532   
7             -1400020392     -213539015764       -9216950912   
8             -1463478506     -180495000187       -8704141398   
9             -1390245187     -142345685578       -8263294282   
10            -1545719299     -149459779127       -9498727130   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0        -8799319846                            226619858475   
1       -10062728801                            252825651555   
2       -10552980317                            278554313308   
3       -11721772082                            263075553608   
4       -12020656084                            286506449165   
5       -11603368644                            281074532884   
6       -10383404532                            271521714886   
7        -9216950912                            230460693348   
8        -8704141398                            196506686076   
9        -8263294282                            153733201696   
10       -9498727130                            161938708680   

    Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  \
0                       -1327370     1455284260       339028607   
1                      -17636390     1869214005       556075662   
2                     -138804546     1618172812       562899430   
3                      -41614632     1965379669       710392891   
4                     -134186271     2848391180      1396825656   
5                     -128181819     2989283775      1889820039   
6                              0     1441877073       222983159   
7                        -545454     5371765487      3971745095   
8                              0     2595898626      1132420120   
9                              0     5397814819      4007569632   
10                     -16201818     6184503364      4638784065   

    LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0      2971595352  -611296514                   -611296514       2360298838   
1      4375364775  -955708668                   -955708668       3419656107   
2      4722509578  -945413091                   -945413091       3777096487   
3      3982900960  -796951241                   -796951241       3185949719   
4      3925975214  -800433226                   -800433226       3125541988   
5      8825051116 -1807509600                  -1807509600       7017541516   
6      3400812543  -681374092                   -681374092       2719438451   
7      6292187626 -1275494345                  -1275494345       5016693281   
8      4085158377  -924749167                   -924749167       3160409210   
9      3311121065  -752364574                   -752364574       2558756491   
10     3223667840  -794567115                   -794567115       2429100725   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0               2360298838                       874  
1               3419656107                      1200  
2               3777096487                      1346  
3               3185949719                      1130  
4               3125541988                      1104  
5               7017541516                      2552  
6               2719438451                       927  
7               5016693281                      1758  
8               3160409210                       995  
9               2558756491                       779  
10              2429100725                       810  
     CP   Năm  Tiền và tương đương tiền  \
0   THS  2023                3293567234   
1   THS  2022                4198290014   
2   THS  2021                4608544374   
3   THS  2020                5059280242   
4   THS  2019                7872017665   
5   THS  2018                6219325885   
6   THS  2017                4498360451   
7   THS  2016                4262820841   
8   THS  2015                5600792477   
9   THS  2014                1921609614   
10  THS  2013                2169239946   

    Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  Lãi/Lỗ từ hoạt động đầu tư  \
0                                         0                     -745552   
1                                         0                   113684551   
2                                         0                  -321070059   
3                                         0                  -638769350   
4                                    612329                  -332317999   
5                                    -59267                 -4533816101   
6                                         0                           0   
7                                         0                 -3500725919   
8                                   -170727                  -103060578   
9                                   -139603                   -87735304   
10                                  -117846                  -559747962   

