     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
6       5181464563    35424701486  -6669946806                  -6530039644   
7       2427950827    30983266286  -6573944170                  -6634456465   
8       3968297527    32208354043  -6600044871                  -6600044871   
9      15329846784    51354559670 -10732752244                 -10943233658   
10      1015778060    38541008052  -8581729157                  -8581729157   

    Chi phí thuế TNDN hoãn lại  Lợi nhuận thuần  Cổ đông của Công ty mẹ  \
0                  14263313551      71355230626             71355230626   
1                  16324231527      68567308884             68567308884   
2                  22694682444      41159598117             41159598117   
3                   7973030143      36436110621             36436110621   
4                            0      65212599634             65212599634   
5                            0      80639693744             80639693744   
6                   -139907162      28754754680             28754754680   
7                     60512295      24409322116             24409322116   
8                            0      25608309172             25608309172   
9                    210481414      40621807426             40621807426   
10                           0      29959278895             29959278895   

    Lãi cơ bản trên cổ phiếu  
0                       2904  
1                       2791  
2                       1675  
3                       1483  
4                       2654  
5                       3282  
6                       1170  
7                        993  
8                        983  
9                       2976  
10                      2195  
     CP   Năm  Tiền và tương đương tiền  Lãi/Lỗ từ hoạt động đầu tư  \
0   THT  2023                5405916906                 -3572399022   
1   THT  2022                6429317186                  -243777928   
2   THT  2021               10955609902                 -1003798063   
3   THT  2020                5532504960                  -112355494   
4   THT  2019                3002330066                 -6343996078   
5   THT  2018                3235894302                  -865904350   
6   THT  2017                 439696811                 -3335899989   
7   THT  2016               68094435779                 -1059941243   
8   THT  2015                3369327264                 -2404521225   
9   THT  2014                1541562876                -12919152866   
10  THT  2013                2691192275                 -4387858465   

    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0    11626337043                  125454446043                  125454446043   
1    32716227639                 -187623208754                 -187623208754   
2    68739153554                  222401254178                  222401254178   
3    62957302567                 -149969697053                 -149969697053   
4    18052901054                  -22055926501                  -22055926501   
5     6117103952                 -181718053328                 -181718053328   
6     9168788493                   35800697226                   35800697226   
7      385112323                  -18196885588                  -18196885588   
8     6920198165                  163070665670                  163070665670   
9    14074401527                  -44670982825                  -44670982825   
10   31616607501                  -51239581820                  -51239581820   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0             -46685067902                   11556085234   
1              22871432828                   59307982014   
2              -2291571022                  215270170712   
3             -44175843626                 -146961804018   
4            -125569989466                   52102920534   
5             182997747592                   43325413753   
6            -161144240909                   26566803113   
7             -32672359282                 -162835304629   
8               5455273022                  125904294183   
9              15134240146                   69568515367   
10             -7128954746                   90766410596   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                    11556085234                 -10260641366   
1                    59307982014                  27315828309   
2                   215270170712                 -22642804846   
3                  -146961804018                  -1337097103   
4                    52102920534                  14506132779   
5                    43325413753                   2054307988   
6                    26566803113                  25729208212   
7                  -162835304629                  33402913555   
8                   125904294183                 -92818529907   
9                    69568515367                   3578734264   
10                   90766410596                 -20493138320   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0             -11499486576                       -41968971583   
1             -32702207933                       -28137932557   
2             -68876890592                       -27241250729   
3             -62872440825                       -19442328536   
4             -18187754558                       -22541989141   
5              -6109739109                        -8427350051   
6              -9167682109                        -7952273658   
7               -385112323                        -6486870485   
8              -6920198165                        -5409154153   
9             -14075691775                       -11497303492   
10            -31667828086                        -6904289281   

    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                  1400000000   
4                                           0   
5                                           0   
6                                           0   
7                                           0   
8                                    69000000   
9                                   300000000   
10                                          0   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                -24679257217   
1                                -23142695879   
2                                -14968564340   
3                                -14106403482   
4                                -11179907931   
5                                 -7546511977   
6                                 -6810537383   
7                                -11795537000   
8                                 -8427345226   
9                                -20910095800   
10                               -19342089930   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                    419551509346   
1                                    377723309945   
2                                    751227397349   
3                                    -18765451858   
4                                     85037621361   
5                                    193184645382   
6                                     16298454609   
7                                    -90572966385   
8                                    311356327667   
9                                    158565972790   
10                                   112165016016   

    Tiền thu được từ thanh lý tài sản cố định  Tiền thu được các khoản đi vay  \
0                                  3372026081                    584440368770   
1                                    64597600                    871104541567   
2                                   885268588                   1369886256594   
3                                     6727000                   1465041450935   
4                                  6278386208                    932574099814   
5                                   785639400                    841728380679   
6                                  3298973127                    933251393843   
7                                   719331187                    334696428714   
8                                  3258493246                    528073852547   
9                                 23250449237                   1232566882189   
10                                 4547581988                   1508091983136   

    Tiền trả các khoản đi vay  Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0               -575659057505   -17273109920                      -172097353   
1              -1082039342119   -29381261010                     -1023400280   
2              -1674085840714   -22069935355                     -4526292716   
3               -950658267900   -24437126640                      5423104942   
4               -630135834336   -19542420170                      2530174894   
5               -804111960103   -17107629165                      -233564236   
6               -901601950710   -14689776120                      2796197491   
7               -252628842178    -9448756255                    -67654738968   
8               -636288845455   -15497820882                     64725108515   
9              -1353320252173   -17683670070                      1827764388   
10             -1534138947376   -13509467975                     -1149629399   

    Tiền và tương đương tiền cuối kỳ  Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0                         5233819553   317470881476             -80000000   
1                         5405916906   432664778840          -11852517304   
2                         6429317186   348492564636          -18138966312   
3                        10955609902   281809664521           27728190961   
4                         5532504960   125219744016            -402110333   
5                         3002330066    62313467386             389663474   
6                         3235894302    73059572125           -1040681998   
7                          439696811    76647434376            1440317625   
8                        68094435779    93774562923             -66271663   
9                         3369327264   108562483402              66265172   
10                        1541562876    87997180589            4407549926   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                       417634402713 -414804207066   
1                                       539834111917 -138674426591   
2                                       449577053988 -430487968653   
3                                       418700162785 -465869855089   
4                                       217964135645 -371747287853   
5                                       168608830514 -214792905379   
6                                       113276480117  -33797824120   
7                                       108396189367  -50941099662   
8                                       130432322243 -126345538980   
9                                       161138556905  -41667612852   
10                                      158174487603  -78562942838   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                200372941                   -411231808044   
1                                179180328                   -138430648663   
2                                118529475                   -429484170590   
3                                105628494                   -465757499595   
4                                 65609870                   -365403291775   
5                                 80264950                   -213927001029   
6                                 36926862                    -30461924131   
7                                521165611                    -49700602864   
8                                168640372                   -122918405362   
9                                115995267                    -18301168348   
10                               257147650                    -73758213200   

    Lưu chuyển tiền từ hoạt động tài chính  
0                              -8491798655  
1                            -240316061562  
2                            -326269519475  
3                             489946056395  
4                             282895845308  
5                              20508791411  
6                              16959667013  
7                              72618830281  
8                            -123712813790  
9                            -138437040054  
10                            -39556432215  
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   THT  2023  5          0.731111      294828624000   
1   THT  2022  5          0.917819      324311486400   
2   THT  2021  5          0.600521      213750752400   
3   THT  2020  5          0.982978      351337443600   
4   THT  2019  5          1.269381      456984367200   
5   THT  2018  5          1.386319      456984367200   
6   THT  2017  5          1.645286      456984367200   
7   THT  2016  5          1.688644      456984367200   
8   THT  2015  5          1.016986      253885126800   
9   THT  2014  5          1.038729      253885126800   
10  THT  2013  5          1.110477      253885126800   

                                                                              \
   Số CP lưu hành (Triệu CP)          P/E       P/S P/Cash Flow    EPS (VND)   
0                   24569052     7.555290  0.067867    0.702723  2904.272848   
1                   24569052     5.018930  0.071434    0.858595  2790.799941   
2                   24569052 -1052.210514  0.059507    0.284535  1675.261956   
3                   24569052    21.769099  0.122149  -18.722568  1483.008405   
4                   24569052    10.081327  0.186638    5.373908  2654.257870   
5                   24569052     7.277105  0.162027    2.365532  3282.165455   
6                   24569052    26.218812  0.221532   28.038509  1170.364843   
7                   24569052    25.517987  0.235172   -5.045483   993.498736   
8                   13649738    16.102031  0.109677    0.815417  1876.102616   
9                   13649738     6.249971  0.107001    1.601132  2976.013710   
10                  13649738     8.474340  0.133228    2.263497  2194.861095   

                           Chỉ tiêu khả năng sinh lợi                          \
      BVPS (VND) EV/EBITDA     Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)   
0   16413.370126  1.821186                   0.047404                0.016425   
1   14381.913951  1.406747                   0.044771                0.015103   
2   14487.424299  1.885533                   0.053532                0.011459   
3   14547.635143  3.379010                   0.061765                0.012668   
4   14652.806328  4.275329                   0.094609                0.026634   
5   13416.825155  3.784334                   0.056738                0.028591   
6   11305.024543  5.223373                   0.071898                0.013939   
7   11014.757957  5.285829                   0.082495                0.012561   
8   18289.332230  1.459999                   0.079192                0.011063   
9   17906.501445  2.267174                   0.080802                0.017120   
10  16749.561391  3.086037                   0.139827                0.015721   

                                                                 \
     ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng)   
0   0.188618  0.109952  0.044839      0.021895     412586329688   
1   0.193340  0.143937  0.041906      0.025565     548731306651   
2   0.115396  0.111376  0.023633      0.031623     462085091025   
3   0.101574  0.079546  0.022813      0.036660     387254433239   
4   0.189120  0.106309  0.057329      0.035333     211731888562   
5   0.260714  0.203005  0.102061      0.034619     159952978539   
6   0.100134  0.088357  0.041794      0.017248     108639676868   
7   0.088311  0.068721  0.034908      0.012994     101897410725   
8   0.097552  0.125182  0.034924      0.014463     127253953153   
9   0.159887  0.135776  0.054227      0.020932     158228198659   
10  0.121170  0.141739  0.040731      0.035666     155964430970   

                                            Chỉ tiêu thanh khoản  \
   EBIT (Tỷ đồng) Tỷ suất cổ tức (%) Chỉ số thanh toán hiện thời   
0     95115448212           0.083333                    0.727775   
1    116066527811           0.053030                    0.815916   
2    113592526389           0.137931                    0.804818   
3    105444768718           0.062937                    1.187643   
4     86512144546           0.053763                    0.779035   
5     97639511153           0.043011                    1.057047   
6     35580104743           0.037634                    0.970930   
7     25249976349           0.032258                    0.795877   
8     33479390230           0.053763                    0.649151   
9     49665715257           0.069892                    1.008824   
10    67967250381           0.069892                    0.898909   

                                                       \
   Chỉ số thanh toán tiền mặt Chỉ số thanh toán nhanh   
0                    0.005481                0.216080   
1                    0.005705                0.398304   
2                    0.008591                0.244635   
3                    0.015898                0.651466   
4                    0.007180                0.300424   
5                    0.007144                0.518906   
6                    0.007608                0.033153   
7                    0.001180                0.144163   
8                    0.144029                0.212805   
9                    0.007898                0.542853   
10                   0.003501                0.420696   

                                              Chỉ tiêu hiệu quả hoạt động  \
   Khả năng chi trả lãi vay Đòn bẩy tài chính           Vòng quay tài sản   
0                 -8.181033          3.997091                    2.729839   
1                 -3.547675          4.445707                    2.774695   
2                 -1.652516          4.780422                    2.062498   
3                 -1.674862          4.984717                    1.800886   
4                 -4.792146          3.924008                    2.152503   
5                -15.961722          2.616083                    3.569646   
6                 -3.880568          2.484218                    2.998282   
7                -65.565226          2.306415                    2.778963   
8                 -4.837924          2.768218                    3.156949   
9                 -3.528798          2.819226                    3.167405   
10                -2.149733          3.081358                    2.590794   

                                                                        \
