     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
9              -491935047     -537911482668      -20356792619   
10             -580057192     -577841128244      -19941180155   

    Chi phí bán hàng  Doanh thu bán hàng và cung cấp dịch vụ  \
0       -22492516597                            874808591051   
1       -29101657865                            995451464436   
2       -23459225188                           1026871148582   
3       -20740970383                            915179323483   
4       -21276260740                            990051071610   
5       -20240000845                            935169447077   
6       -17756538574                            763387201110   
7       -18347740657                            700071028123   
8       -18078696994                            662821336420   
9       -20356792619                            609524874572   
10      -19941180155                            653205403062   

    Các khoản giảm trừ doanh thu  Thu nhập khác  Lợi nhuận khác  \
0                     -265078050      170208230      -141900541   
1                     -934735140       83802682      -190525479   
2                              0       70328425      -229949149   
3                     -198212273      627548971      -453361994   
4                     -329180000      867605297       380203188   
5                    -3717683205      282231395      -431929376   
6                      -64827000      400543953        61071387   
7                              0       54589429      -129367046   
8                       -9000000       44933663      -362615118   
9                              0      295473181      -196461866   
10                     -26832727       44011990      -536045202   

    LN trước thuế   Thuế TNDN  Chi phí thuế TNDN hiện hành  Lợi nhuận thuần  \
0     35412770711 -7343330868                  -7343330868      28069439843   
1     35357303846 -8095597549                  -8095597549      27261706297   
2     35286556826 -7174487403                  -7174487403      28112069423   
3     35100876419 -7431986980                  -7431986980      27668889439   
4     36158546079 -7680202942                  -7680202942      28478343137   
5     35040815333 -7163295184                  -7163295184      27877520149   
6     34215824857 -7404474939                  -7404474939      26811349918   
7     33275906032 -6840334395                  -6840334395      26435571637   
8     32890575310 -7399915600                  -7399915600      25490659710   
9     27668535182 -6212995224                  -6212995224      21455539958   
10    30197068406 -7941017023                  -7941017023      22256051383   

    Cổ đông của Công ty mẹ  Lãi cơ bản trên cổ phiếu  
0              28069439843                   2970.00  
1              27261706297                   2886.00  
2              28112069423                   2625.00  
3              27668889439                  28891.00  
4              28478343137                   2975.00  
5              27877520149                   2951.00  
6              26811349918                   4271.42  
7              26435571637                   7925.22  
8              25490659710                   7777.00  
9              21455539958                   6352.00  
10             22256051383                   7419.00  
     CP   Năm  Tiền và tương đương tiền  \
0   VBC  2023                2523473029   
1   VBC  2022                 446301484   
2   VBC  2021                2936211418   
3   VBC  2020                3194419292   
4   VBC  2019                5677425348   
5   VBC  2018                8091796485   
6   VBC  2017                7942187398   
7   VBC  2016                 346607053   
8   VBC  2015                1244614094   
9   VBC  2014                4685625679   
10  VBC  2013                6836303950   

    Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  Lãi/Lỗ từ hoạt động đầu tư  \
0                                         0                           0   
1                                         0                           0   
2                                         0                           0   
3                                         0                           0   
4                                         0                           0   
5                                         0                           0   
6                                         0                           0   
7                                         0                           0   
8                                         0                   -12000000   
9                                 -20827800                  -151424001   
10                                -19241462                   578100000   

    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0              0                             0                             0   
1              0                             0                             0   
2              0                             0                             0   
3              0                             0                             0   
4              0                             0                             0   
5              0                             0                             0   
6              0                             0                             0   
7              0                             0                             0   
8     9182695014                  -25274658286                  -25274658286   
9    12146893544                   11397690264                   11397690264   
10   12226526542                  -13600038845                  -13600038845   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0                        0                             0   
1                        0                             0   
2                        0                             0   
3                        0                             0   
4                        0                             0   
5                        0                             0   
6                        0                             0   
7                        0                             0   
8              -9316186119                   13483368556   
9              20450699195                   -4086698859   
10            -37715117173                   11496385800   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                              0                            0   
1                              0                            0   
2                              0                            0   
3                              0                            0   
4                              0                            0   
5                              0                            0   
6                              0                            0   
7                              0                            0   
8                    13483368556                  -5512109377   
9                    -4086698859                   -742974149   
10                   11496385800                    156555516   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0                        0                                  0   
1                        0                                  0   
2                        0                                  0   
3                        0                                  0   
4                        0                                  0   
5                        0                                  0   
6                        0                                  0   
7                        0                                  0   
8              -9195074367                        -9697211990   
9             -12196227051                        -8385510010   
10            -12233113618                        -5950970338   

    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                           0   
6                                           0   
7                                           0   
8                                  1710863600   
9                                  3698884273   
10                                 6131118500   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                           0   
6                                           0   
7                                           0   
8                                 -3791800000   
9                                 -7398247073   
10                                -6865359300   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     83166733368   
1                                    -10721570298   
2                                     38480574158   
3                                    100596399136   
4                                     30824762037   
5                                    -33492797417   
6                                     15397329430   
7                                     20869009192   
8                                      9004907147   
9                                     58367832497   
10                                    -1730611907   

    Tiền thu được từ thanh lý tài sản cố định  Tiền thu được các khoản đi vay  \
0                                           0                    775466760550   
1                                           0                    965775524573   
2                                           0                    908105507714   
3                                   428340000                    859180259312   
4                                   130363636                    979490579004   
5                                    85000000                    901275181478   
6                                           0                    658821123821   
7                                   427454542                    580914644102   
8                                    12000000                    531570810183   
9                                   288818181                    489365987888   
10                                   16500000                    529770530086   

    Tiền trả các khoản đi vay  Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0               -840256443619   -13499928000                     -2033985186   
1               -919114565896   -13499928000                      2077476189   
2               -934806320827   -13499820000                     -2489882218   
3               -945796873549   -13499820000                      -257948608   
4               -972469392484    -8999952000                     -2481597810   
5               -844468564414   -14999944000                     -2415106968   
6               -639553001528   -14682379750                       149003346   
7               -522400789467   -20999923000                      7566335176   
8               -525394376934   -14999945000                      -898007041   
9               -529649421881   -14999945000                     -3441011585   
10              -496855901687    -7499972500                     -2150678271   

    Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                           -102993                         489384850   
1                           -304644                        2523473029   
2                            -27716                         446301484   
3                           -259266                        2936211418   
4                          -1408246                        3194419292   
5                            735831                        5677425348   
6                            605741                        8091796485   
7                          29245169                        7942187398   
8                                 0                         346607053   
9                                 0                        1244614094   
10                                0                        4685625679   

    Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0               0                     0   
1               0                     0   
2               0                     0   
3               0                     0   
4     17802170360                     0   
5               0                     0   
6     13633476150                     0   
7     15550693929                     0   
8     14360297929             176146877   
9     15152159668             834879314   
10    13616306065             251168000   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                                  0   -6953382485   
1                                                  0  -20805236626   
2                                                  0    -774505455   
3                                                  0   -1439853727   
4                                                  0  -31457958003   
5                                                  0  -10820671327   
6                                                  0  -19840349250   
7                                                  0  -51259934889   
8                                        56597715130   -1091402437   
9                                        55630215907   -6814283270   
10                                       56849927551  -25851222263   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                 42275000                     -6911107485   
1                                443252436                    -20361984190   
2                                  4682192                      -769823263   
3                                273600220                      -737913507   
4                                        0                    -31327594367   
5                                  6688712                    -10728982615   
6                                  6280623                    -19834068627   
7                                 15874696                    -50816605651   
8                                        0                     -1079402437   
9                                        0                     -6525465089   
10                                       0                    -25834722263   

    Lưu chuyển tiền từ hoạt động tài chính  
0                             -78289611069  
1                              33161030677  
2                             -40200633113  
3                            -100116434237  
4                              -1978765480  
5                              41806673064  
6                               4585742543  
7                              37513931635  
8                              -8823511751  
9                             -55283378993  
10                             25414655899  
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   VBC  2023  5          0.964786      152249431600   
1   VBC  2022  5          1.098629      164999384000   
2   VBC  2021  5          1.292043      183749314000   
3   VBC  2020  5          1.438383      191999283200   
4   VBC  2019  5          1.320980      165749381200   
5   VBC  2018  5          1.483947      165749381200   
6   VBC  2017  5          1.586887      165749381200   
7   VBC  2016  5          0.675109       66299756900   
8   VBC  2015  5          0.696950       66299756900   
9   VBC  2014  5          0.761736       66299756900   
10  VBC  2013  5          0.804337       66299756900   

                                                                           \
   Số CP lưu hành (Triệu CP)       P/E       P/S P/Cash Flow    EPS (VND)   
0                    7499972  6.876274  0.174090    1.830653  3742.605951   
1                    7499972  7.565529  0.165909  -15.389479  3634.907743   
2                    7499972  8.170393  0.178941    4.775119  3748.289917   
3                    7499972  8.726740  0.209840    1.908610  3689.199032   
4                    7499972  7.344883  0.167471    5.377150  3797.126594   
5                    7499972  7.390446  0.177947   -4.948807  3717.016563   
6                    7499972  6.182060  0.217142   10.764814  3574.860002   
7                    2999989  3.146258  0.094704    3.176948  8811.889523   
8                    2999989  2.866067  0.100028    7.362625  8496.917725   
9                    2999989  3.090100  0.108773    1.135895  7151.872876   
10                   2999989  2.978954  0.101503  -38.310009  7418.710996   

                           Chỉ tiêu khả năng sinh lợi                          \
      BVPS (VND) EV/EBITDA     Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)   
0   21040.925210  4.177471                   0.098858                0.032096   
1   20024.954439  5.412182                   0.093124                0.027412   
2   18962.221775  4.896670                   0.084210                0.027376   
3   17797.763575  5.047604                   0.093067                0.030240   
4   16730.005848  5.909517                   0.088936                0.028774   
5   14892.713838  5.783015                   0.094335                0.029929   
6   13926.633411  5.496388                   0.105340                0.035125   
7   32735.478603  3.640289                   0.111573                0.037761   
8   31709.591963  2.884190                   0.107440                0.038458   
9   29012.677170  2.802014                   0.117491                0.035200   
10  27476.049980  3.323866                   0.115340                0.034073   

                                                                 \
     ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng)   
0   0.182273  0.170854  0.066229      0.051426      61564519837   
1   0.186467  0.140618  0.061021      0.045236      61383751161   
2   0.203933  0.168511  0.065581      0.043999      63146092652   
3   0.213695  0.164991  0.059762      0.051588      67688834997   
4   0.240152  0.137610  0.057588      0.050707      67987787093   
5   0.257953  0.149965  0.061522      0.055418      67886003794   
6   0.264600  0.167797  0.067017      0.061450      60539851559   
7   0.273470  0.170396  0.079578      0.061831      58836629175   
8   0.279862  0.219530  0.093667      0.063738      56606559131   
9   0.253214  0.227812  0.076224      0.066592      55741916893   
10  0.291945  0.207899  0.081545      0.068064      58074560470   

                                            Chỉ tiêu thanh khoản  \
   EBIT (Tỷ đồng) Tỷ suất cổ tức (%) Chỉ số thanh toán hiện thời   
0     44973889092           0.088670                    1.351280   
1     44987945473           0.081818                    1.216236   
2     45180909889           0.073469                    1.225225   
3     47201604944           0.070312                    1.157520   
4     50185616733           0.081448                    1.126099   
5     51619245650           0.054299                    1.090936   
6     46906375409           0.090498                    1.133599   
7     43285935246           0.226244                    1.174026   
8     42246261202           0.316742                    1.244487   
9     40589757225           0.226244                    1.241379   
10    44458254405           0.226244                    1.150714   

                                                       \
